Gene	Sample	RPKM
A2MP1	Adult-SI	0.413113
A2MP1	D4CF	0
A2MP1	ESC	0.102616
A2MP1	Endo	0.146783
A2MP1	Fetal-SI	0.204651
AARSD1	Adult-SI	12.4511
AARSD1	D4CF	16.7685
AARSD1	ESC	21.8954
AARSD1	Endo	17.6478
AARSD1	Fetal-SI	10.7949
ABCB5	Adult-SI	0
ABCB5	D4CF	0.0287903
ABCB5	ESC	0.0213004
ABCB5	Endo	0.0839058
ABCB5	Fetal-SI	0
ABL1	Adult-SI	20.6042
ABL1	D4CF	14.0473
ABL1	ESC	19.3356
ABL1	Endo	15.2743
ABL1	Fetal-SI	30.4484
ABL2	Adult-SI	2.93186
ABL2	D4CF	7.27409
ABL2	ESC	5.51368
ABL2	Endo	6.16914
ABL2	Fetal-SI	3.77891
ACADSB	Adult-SI	16.4981
ACADSB	D4CF	3.88407
ACADSB	ESC	9.15176
ACADSB	Endo	12.0819
ACADSB	Fetal-SI	6.40976
ACAP2	Adult-SI	10.1086
ACAP2	D4CF	18.7381
ACAP2	ESC	15.6625
ACAP2	Endo	25.8303
ACAP2	Fetal-SI	14.0322
ACOT13	Adult-SI	8.39058
ACOT13	D4CF	8.99838
ACOT13	ESC	11.1961
ACOT13	Endo	6.89783
ACOT13	Fetal-SI	8.76456
ACTL9	Adult-SI	0
ACTL9	D4CF	0
ACTL9	ESC	0
ACTL9	Endo	0
ACTL9	Fetal-SI	0
ACTR2	Adult-SI	94.5858
ACTR2	D4CF	143.535
ACTR2	ESC	107.203
ACTR2	Endo	189.048
ACTR2	Fetal-SI	69.0988
ADAMTS18	Adult-SI	0
ADAMTS18	D4CF	0.445624
ADAMTS18	ESC	0.0469219
ADAMTS18	Endo	2.34043
ADAMTS18	Fetal-SI	0.597145
ADGB	Adult-SI	0.0803274
ADGB	D4CF	0.00335956
ADGB	ESC	0
ADGB	Endo	0.0101494
ADGB	Fetal-SI	0.0218448
ADH1B	Adult-SI	93.4932
ADH1B	D4CF	0.00664883
ADH1B	ESC	0.00799901
ADH1B	Endo	0.0104136
ADH1B	Fetal-SI	4.73696
ADNP2	Adult-SI	8.19177
ADNP2	D4CF	20.2801
ADNP2	ESC	28.292
ADNP2	Endo	24.2691
ADNP2	Fetal-SI	8.15447
ADSS	Adult-SI	21.8306
ADSS	D4CF	44.3577
ADSS	ESC	70.734
ADSS	Endo	28.0312
ADSS	Fetal-SI	22.6323
AGPAT1	Adult-SI	0
AGPAT1	Adult-SI	56.5302
AGPAT1	D4CF	0
AGPAT1	D4CF	44.4128
AGPAT1	ESC	0
AGPAT1	ESC	44.2679
AGPAT1	Endo	0
AGPAT1	Endo	53.3745
AGPAT1	Fetal-SI	0
AGPAT1	Fetal-SI	57.6315
AGTR2	Adult-SI	0
AGTR2	D4CF	0
AGTR2	ESC	0
AGTR2	Endo	0.0183472
AGTR2	Fetal-SI	2.37293
AHCYL1	Adult-SI	139.751
AHCYL1	D4CF	66.3192
AHCYL1	ESC	66.2073
AHCYL1	Endo	51.7967
AHCYL1	Fetal-SI	39.3678
AIFM1	Adult-SI	49.3102
AIFM1	D4CF	32.6257
AIFM1	ESC	42.1747
AIFM1	Endo	28.4716
AIFM1	Fetal-SI	18.878
AKAP10	Adult-SI	7.04441
AKAP10	D4CF	14.3204
AKAP10	ESC	12.9382
AKAP10	Endo	14.4071
AKAP10	Fetal-SI	10.0329
AKAP5	Adult-SI	0.384046
AKAP5	D4CF	3.60183
AKAP5	ESC	1.89454
AKAP5	Endo	1.05106
AKAP5	Fetal-SI	4.24909
AKAP6	Adult-SI	0.621899
AKAP6	D4CF	0.686077
AKAP6	ESC	0.119841
AKAP6	Endo	0.530862
AKAP6	Fetal-SI	2.9579
AMIGO2	Adult-SI	3.14946
AMIGO2	D4CF	4.63357
AMIGO2	ESC	2.81014
AMIGO2	Endo	4.0503
AMIGO2	Fetal-SI	11.628
AMOT	Adult-SI	4.3538
AMOT	D4CF	12.6134
AMOT	ESC	5.85582
AMOT	Endo	8.41728
AMOT	Fetal-SI	11.6962
ANGPTL3	Adult-SI	0.0384285
ANGPTL3	D4CF	0.00741926
ANGPTL3	ESC	0.106295
ANGPTL3	Endo	0.0562301
ANGPTL3	Fetal-SI	6.76286
ANKRD28	Adult-SI	10.2656
ANKRD28	D4CF	12.8708
ANKRD28	ESC	23.5761
ANKRD28	Endo	15.3905
ANKRD28	Fetal-SI	9.27921
ANKRD32	Adult-SI	4.49019
ANKRD32	D4CF	13.9877
ANKRD32	ESC	10.4937
ANKRD32	Endo	24.2536
ANKRD32	Fetal-SI	3.30095
ANKRD6	Adult-SI	0.472085
ANKRD6	D4CF	2.97344
ANKRD6	ESC	4.47532
ANKRD6	Endo	30.2479
ANKRD6	Fetal-SI	1.87478
ANKUB1	Adult-SI	0
ANKUB1	D4CF	0
ANKUB1	ESC	0
ANKUB1	Endo	0
ANKUB1	Fetal-SI	0
ANP32C	Adult-SI	7.93692
ANP32C	D4CF	13.6946
ANP32C	ESC	11.436
ANP32C	Endo	13.9847
ANP32C	Fetal-SI	7.60615
ANTXR1	Adult-SI	4.60559
ANTXR1	D4CF	35.8822
ANTXR1	ESC	23.7655
ANTXR1	Endo	22.6759
ANTXR1	Fetal-SI	11.6059
APLF	Adult-SI	0.416873
APLF	D4CF	3.33763
APLF	ESC	3.31956
APLF	Endo	4.21895
APLF	Fetal-SI	0.755314
APLNR	Adult-SI	1.38926
APLNR	D4CF	34.3601
APLNR	ESC	0.160035
APLNR	Endo	4.26062
APLNR	Fetal-SI	12.4906
ARG2	Adult-SI	46.0695
ARG2	D4CF	60.4223
ARG2	ESC	67.3724
ARG2	Endo	28.9989
ARG2	Fetal-SI	5.72648
ARHGAP15	Adult-SI	4.70773
ARHGAP15	D4CF	0.11863
ARHGAP15	ESC	0.0968966
ARHGAP15	Endo	0.0268456
ARHGAP15	Fetal-SI	4.30136
ARHGAP28	Adult-SI	1.39349
ARHGAP28	D4CF	10.7723
ARHGAP28	ESC	9.99005
ARHGAP28	Endo	67.4307
ARHGAP28	Fetal-SI	3.94537
ARHGEF33	Adult-SI	0.109405
ARHGEF33	D4CF	0.0619613
ARHGEF33	ESC	0.270704
ARHGEF33	Endo	0.205407
ARHGEF33	Fetal-SI	0.182473
ART3	Adult-SI	0.112428
ART3	D4CF	0.0134461
ART3	ESC	0.368671
ART3	Endo	0.0790022
ART3	Fetal-SI	0.221814
ASB15	Adult-SI	0
ASB15	D4CF	0.00682786
ASB15	ESC	0
ASB15	Endo	0
ASB15	Fetal-SI	0.00786652
ASB17	Adult-SI	0
ASB17	D4CF	0.020308
ASB17	ESC	0.0235639
ASB17	Endo	0
ASB17	Fetal-SI	0
ASCC3	Adult-SI	6.10746
ASCC3	D4CF	35.3102
ASCC3	ESC	48.2056
ASCC3	Endo	36.4019
ASCC3	Fetal-SI	11.8857
ATF7IP2	Adult-SI	2.71891
ATF7IP2	D4CF	5.74516
ATF7IP2	ESC	10.7889
ATF7IP2	Endo	7.41623
ATF7IP2	Fetal-SI	8.61441
ATP12A	Adult-SI	0
ATP12A	D4CF	0.0957657
ATP12A	ESC	0.767928
ATP12A	Endo	4.98052
ATP12A	Fetal-SI	0.00568929
ATP2B1	Adult-SI	15.1057
ATP2B1	D4CF	29.2212
ATP2B1	ESC	15.7305
ATP2B1	Endo	58.2642
ATP2B1	Fetal-SI	27.7899
ATP6AP1L	Adult-SI	2.85534
ATP6AP1L	D4CF	1.69208
ATP6AP1L	ESC	0.778457
ATP6AP1L	Endo	1.31768
ATP6AP1L	Fetal-SI	1.84751
ATP6V1G3	Adult-SI	0
ATP6V1G3	D4CF	0
ATP6V1G3	ESC	0
ATP6V1G3	Endo	0.102789
ATP6V1G3	Fetal-SI	0
ATXN3	Adult-SI	3.05728
ATXN3	D4CF	6.21815
ATXN3	ESC	6.19735
ATXN3	Endo	5.11268
ATXN3	Fetal-SI	3.77831
ATXN7	Adult-SI	5.26152
ATXN7	D4CF	6.58964
ATXN7	ESC	5.97627
ATXN7	Endo	11.9035
ATXN7	Fetal-SI	9.00117
AURKC	Adult-SI	2.09477
AURKC	D4CF	1.61409
AURKC	ESC	2.67563
AURKC	Endo	1.35664
AURKC	Fetal-SI	1.08728
AVIL	Adult-SI	6.76511
AVIL	D4CF	0.26539
AVIL	ESC	0.362379
AVIL	Endo	1.0343
AVIL	Fetal-SI	1.6413
BAHD1	Adult-SI	10.5793
BAHD1	D4CF	7.03187
BAHD1	ESC	10.3095
BAHD1	Endo	6.70438
BAHD1	Fetal-SI	14.3786
BAMBI	Adult-SI	0.683655
BAMBI	D4CF	38.7374
BAMBI	ESC	11.9899
BAMBI	Endo	34.714
BAMBI	Fetal-SI	27.9138
BASP1P1	Adult-SI	0
BASP1P1	D4CF	0.0419265
BASP1P1	ESC	0
BASP1P1	Endo	0
BASP1P1	Fetal-SI	0
BDNF	Adult-SI	0.052842
BDNF	D4CF	2.06444
BDNF	ESC	1.84708
BDNF	Endo	0.168683
BDNF	Fetal-SI	0.606527
BFSP1	Adult-SI	0.139082
BFSP1	D4CF	1.63505
BFSP1	ESC	1.90016
BFSP1	Endo	3.43549
BFSP1	Fetal-SI	0.526461
BIN2	Adult-SI	2.34539
BIN2	D4CF	0
BIN2	ESC	0.0162947
BIN2	Endo	0
BIN2	Fetal-SI	1.81561
BMP6	Adult-SI	1.19693
BMP6	D4CF	3.62518
BMP6	ESC	0.54623
BMP6	Endo	0.0660979
BMP6	Fetal-SI	0.32939
BMPR1B	Adult-SI	0.0928121
BMPR1B	D4CF	3.52346
BMPR1B	ESC	0.369243
BMPR1B	Endo	2.56012
BMPR1B	Fetal-SI	0.620542
BTG4	Adult-SI	0
BTG4	D4CF	0.0422327
BTG4	ESC	0.0987599
BTG4	Endo	0.0258001
BTG4	Fetal-SI	0
C11orf88	Adult-SI	0
C11orf88	D4CF	0.0621557
C11orf88	ESC	0
C11orf88	Endo	0.0505933
C11orf88	Fetal-SI	0
C22orf31	Adult-SI	0.0429407
C22orf31	D4CF	0.0561293
C22orf31	ESC	0
C22orf31	Endo	0.0362411
C22orf31	Fetal-SI	0.462461
C2orf66	Adult-SI	0.560684
C2orf66	D4CF	0.0356343
C2orf66	ESC	0.0742977
C2orf66	Endo	0.311466
C2orf66	Fetal-SI	0.207799
C2orf88	Adult-SI	40.1808
C2orf88	D4CF	0.395208
C2orf88	ESC	0.87232
C2orf88	Endo	1.66848
C2orf88	Fetal-SI	9.553
C3orf79	Adult-SI	0
C3orf79	D4CF	0
C3orf79	ESC	0
C3orf79	Endo	0
C3orf79	Fetal-SI	0.104016
C4orf45	Adult-SI	0
C4orf45	D4CF	0.0278679
C4orf45	ESC	0
C4orf45	Endo	0.0340493
C4orf45	Fetal-SI	0.0573938
C6orf120	Adult-SI	13.3378
C6orf120	D4CF	22.8047
C6orf120	ESC	22.0795
C6orf120	Endo	21.3938
C6orf120	Fetal-SI	16.5318
C6orf211	Adult-SI	20.7585
C6orf211	D4CF	38.1721
C6orf211	ESC	66.0622
C6orf211	Endo	117.33
C6orf211	Fetal-SI	18.446
C6orf226	Adult-SI	25.328
C6orf226	D4CF	1.03924
C6orf226	ESC	1.45188
C6orf226	Endo	0.969828
C6orf226	Fetal-SI	6.69314
C8B	Adult-SI	0
C8B	D4CF	0
C8B	ESC	0.0080606
C8B	Endo	0
C8B	Fetal-SI	0.0550338
C8orf46	Adult-SI	0.158178
C8orf46	D4CF	0.136308
C8orf46	ESC	0.22887
C8orf46	Endo	0.118844
C8orf46	Fetal-SI	0.343869
C9orf170	Adult-SI	0.0114965
C9orf170	D4CF	0
C9orf170	ESC	0.0697126
C9orf170	Endo	0.0361516
C9orf170	Fetal-SI	0.0624304
C9orf3	Adult-SI	10.6687
C9orf3	D4CF	2.21673
C9orf3	ESC	2.55827
C9orf3	Endo	3.49869
C9orf3	Fetal-SI	6.22632
CAB39L	Adult-SI	2.35635
CAB39L	D4CF	7.17733
CAB39L	ESC	3.70897
CAB39L	Endo	4.65108
CAB39L	Fetal-SI	2.84259
CABIN1	Adult-SI	11.5954
CABIN1	D4CF	8.40624
CABIN1	ESC	9.46502
CABIN1	Endo	9.32157
CABIN1	Fetal-SI	12.9386
CADM2	Adult-SI	0.170295
CADM2	D4CF	0.253274
CADM2	ESC	2.16315
CADM2	Endo	4.30513
CADM2	Fetal-SI	0.659187
CAPS	Adult-SI	16.2849
CAPS	D4CF	0.0620325
CAPS	ESC	0.168888
CAPS	Endo	0.367903
CAPS	Fetal-SI	10.0939
CASP12	Adult-SI	0.0985563
CASP12	D4CF	0
CASP12	ESC	0
CASP12	Endo	0
CASP12	Fetal-SI	0.277788
CASP7	Adult-SI	91.3156
CASP7	D4CF	10.0608
CASP7	ESC	3.0524
CASP7	Endo	5.21971
CASP7	Fetal-SI	16.2922
CCDC129	Adult-SI	0.0538536
CCDC129	D4CF	0.0350174
CCDC129	ESC	0.151635
CCDC129	Endo	0.52589
CCDC129	Fetal-SI	0.0297968
CCDC130	Adult-SI	41.8065
CCDC130	D4CF	3.70221
CCDC130	ESC	3.77903
CCDC130	Endo	5.72989
CCDC130	Fetal-SI	18.2092
CCDC30	Adult-SI	0.799554
