Genes	AS1	AS2	AS3	D41	D42	D43	DE2	DE3	ES1	ES2	ES3	F1	F2
ABCA5	1	10.9881	2.3123	2.50061	1	1	2.12325	1.38404	1.28848	1.14223	1.4049	15.4252	27.5787
ABCB5	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCB7	36.5494	9.84812	6.74012	21.111	41.4547	46.6382	22.4502	16.3483	28.716	30.2412	29.5322	11.1971	16.0795
ABCC6P1	1	2.86553	1.42547	1	1	1	1	1	1	1	1	2.58497	10.026
ABCC6P2	1	2.43744	2.99849	1	1	1	1	1	1	1	1	1.6993	6.48651
ABHD12	24.3738	65.3611	18.4999	16.212	30.9512	23.0704	16.7808	23.8119	20.2574	18.9849	21.0687	28.4465	38.3041
ABL1	15.1399	12.0449	39.9144	11.3224	14.8426	9.73341	10.5377	17.3592	17.3179	17.0579	17.1267	33.4159	23.4166
ABL2	7.29205	2.00584	3.9936	6.36291	7.38503	8.21086	6.6112	6.63143	5.92293	6.21847	5.45291	4.06991	3.46295
ACADS	1	285.094	64.7692	1	1	1	1	1.42716	1	1	1	31.9584	31.4623
ACKR2	1	1	1.57118	1	1	1	1	1	1	1	1	1	1
ACPP	1	1	1.91291	4.34843	1	1	4.66631	5.32123	1	1	1	1	1
ACSF3	2.12069	21.9543	13.4654	1.00692	1.82011	1.37856	1.27893	2.17156	2.1504	1.90945	1.85749	5.16512	7.85285
ACSM3	3.85253	3.97409	1.2405	1	6.06871	4.65357	1	1	2.45807	2.51751	2.066	9.06289	5.27261
ACSS3	16.3052	1	1	54.8246	21.0371	28.0521	58.0508	47.0862	14.1363	16.1345	13.1929	1.71268	2.22469
ACTL6A	119.817	24.7757	16.5575	72.16	121.087	165.639	78.5731	51.0062	91.1265	88.9009	90.1092	22.1465	23.6894
ACTL9	1	1	1	1	1	1	1	1	1	1	1	1	1
ACVR1B	19.018	12.8173	27.8083	14.3885	19.4042	16.6354	15.7078	15.5276	10.6155	10.0851	9.53894	27.7975	35.9833
ACVR1C	1	1	1.00145	1	1	1	1	1	1	1	1	3.59934	8.47999
ADAM21P1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADAM22	8.06811	1	1	1.27309	8.99719	9.72531	1.34475	1.04925	6.78704	6.98948	5.82017	4.17534	3.48288
ADCY4	1	1.49775	3.93164	1	1	1	1	1	1	1	1	2.10757	1.51586
ADH5	105.933	75.7519	77.2095	119.299	116.083	139.861	117.52	93.8362	112.683	110.219	112.511	38.7992	45.2497
ADIPOQ	1	1	36.4994	1	1	1	1	1	1	1	1	1	1
ADK	35.1425	5.79133	9.33138	25.0511	36.3065	46.3036	28.2423	19.86	24.6876	26.8524	27.9168	13.3714	11.1675
ADM5	1	1	2.38436	1	1	1	1	1.93839	1	1	1	1	1
ADO	16.9891	9.22087	9.9228	16.7449	17.5128	22.0623	15.5369	13.3029	19.0907	20.0076	20.181	8.99999	10.2716
AFF2	3.70455	1	1	1	4.24712	4.26838	1	1	2.87723	2.87593	2.37495	1	1
AGAP9	1	1	1	1	1	1	1	1	1	1	1	1	1
AGFG1	16.293	18.8621	9.3945	24.2752	16.7589	19.1133	24.159	19.5432	22.6005	24.0129	22.1733	14.4646	22.298
AHSA1	109.423	43.4668	48.553	91.3911	108.647	121.293	100.065	74.216	101.227	96.5447	107.237	37.5921	42.4032
AKAP11	11.1079	2.34644	7.04566	12.2248	10.2607	12.903	12.149	9.55514	11.2967	12.4057	9.90161	14.819	12.8126
AKAP13	8.53836	23.6915	18.3245	36.0381	7.76728	8.07769	38.6459	34.4764	9.48843	10.0797	8.7388	23.0406	15.6407
AKAP5	3.39995	1	1	1.18817	4.04534	4.15456	1.2293	1.15734	2.33908	2.14009	1.97254	5.26346	3.50298
AKR1C3	1	297.558	117.874	5.13409	1	1	5.02609	3.87175	2.35775	2.1281	2.76233	1	4.78865
AKR1C4	1	1.2259	1	1	1	1	1	1	1	1	1	1	1
ALKBH1	9.11967	7.07826	4.61598	7.90853	8.3827	10.312	9.20738	6.18694	8.74226	8.78746	9.3932	4.58244	4.90779
AMBP	1	1	1	1	1	1	1	1	1	1	1	5.19789	1.26523
AMIGO2	4.81126	1	7.80889	3.78625	4.77118	4.57288	5.46688	3.31638	3.08447	2.71128	3.02992	13.658	8.93818
AMPD1	1	2.7494	1	1	1	1	1	1	1	1	1	1	1
AMY1A	1	1	1	1	1	1	1	1	1	1	1	1	1
AMY1B	1	1	1	1	1	1	1	1	1	1	1	1	1
AMY1C	1	1	1	1	1	1	1	1	1	1	1	1	1
ANAPC5	47.2708	40.131	20.0611	45.3356	57.5099	55.2549	43.773	47.6706	47.9569	47.9904	49.2741	41.6575	45.7157
ANGPTL5	1	1	1	1	1	1	1	1	1	1	1	1	1
ANGPTL7	1	1	1	1	1	1	1	1	1	1	1	1	1
ANKRD20A12P	1	1	1	1	1	1	1	1	1	1	1	1	1
ANKRD34C	1	1	1	1	1	1	1	1	1	1	1	1	1
ANKRD36BP2	1	1	1	1	1	1	1	1	1	1	1	1	1
ANKRD62P1-PARP4P3	1	1	1	1	1	1	1	1	1	1	1	1	1
ANO4	1	1	1	2.41884	1	1	2.79253	2.39714	1.22105	1	1	1	1
ANO6	28.8856	32.1541	27.8731	41.0929	28.822	33.4644	43.1756	33.9651	27.6355	30.4806	25.9508	26.5224	31.8382
ANXA11	11.2438	240.336	71.7904	33.179	13.6611	9.89834	32.7594	42.1881	23.0375	20.0094	22.9225	43.1336	51.9951
AP3M1	32.7731	8.05144	12.2928	29.8091	31.0183	40.8111	30.679	23.6743	23.3179	24.6935	23.112	15.46	14.8342
APOA2	28.5784	4.63226	1	33.5492	10.0472	10.9673	28.1313	31.458	1	1	1	25.1571	38.5426
APOBEC1	1	231.677	21.749	1	1	1	1	1	1	1	1	2.54077	14.2282
APOLD1	3.32974	2.16419	33.4581	1.32973	1.72047	2.09436	1.40539	1.25625	1	1	1	4.22256	3.86801
ARAP2	1	12.2416	2.09009	1	1	1	1	1	1	1	1	1.63868	4.82536
ARFIP1	29.8882	12.5867	20.1147	36.8843	30.0368	37.0781	32.6056	26.9186	27.5487	26.2285	27.3763	18.5341	19.4501
ARG2	53.1304	42.5935	19.7918	31.1399	57.9102	73.7289	30.9808	27.6366	69.8201	67.0131	70.7013	5.42702	5.27192
ARHGAP17	22.4711	32.8327	17.5995	29.5136	22.9095	24.2992	27.9548	30.0886	26.1562	24.6209	23.9119	25.2061	36.4594
ARHGAP29	9.5671	1	3.73424	14.3887	7.85521	7.60778	13.4274	11.1615	1	1.24477	1	3.01143	1.7248
ARHGDIA	29.6174	387.597	214.917	27.4952	26.3855	17.217	27.778	47.5842	19.0029	19.3076	19.4178	82.7605	86.7615
ARHGEF10L	2.14089	3.85054	29.8995	1	1.71677	1	1	1.8696	3.33637	3.05914	2.87412	41.4253	41.3502
ARHGEF16	1.02158	102.94	18.1514	3.50771	1	1	2.77394	9.51893	2.06393	1.98756	2.19836	17.432	23.9822
ARID5B	3.68212	2.1121	12.4181	1.11108	3.49638	3.56996	1	1.43349	1	1	1	13.6906	12.1654
ARL1	42.2284	14.0038	26.3772	37.7706	44.8187	49.5234	34.6483	29.7788	33.6779	35.0226	33.9153	32.9149	36.3353
ARL14EP	23.4595	10.7863	7.71147	16.1511	23.4992	29.1859	14.6966	11.7685	21.1416	19.9833	22.4383	11.2274	13.4774
