Genes	AS1	AS2	AS3	D41	D42	D43	DE2	DE3	ES1	ES2	ES3	F1	F2
ABCB7	36.5494	9.84812	6.74012	21.111	41.4547	46.6382	22.4502	16.3483	28.716	30.2412	29.5322	11.1971	16.0795
ABHD12	24.3738	65.3611	18.4999	16.212	30.9512	23.0704	16.7808	23.8119	20.2574	18.9849	21.0687	28.4465	38.3041
ABL1	15.1399	12.0449	39.9144	11.3224	14.8426	9.73341	10.5377	17.3592	17.3179	17.0579	17.1267	33.4159	23.4166
ABL2	7.29205	2.00584	3.9936	6.36291	7.38503	8.21086	6.6112	6.63143	5.92293	6.21847	5.45291	4.06991	3.46295
ACSF3	2.12069	21.9543	13.4654	1.00692	1.82011	1.37856	1.27893	2.17156	2.1504	1.90945	1.85749	5.16512	7.85285
ACTL6A	119.817	24.7757	16.5575	72.16	121.087	165.639	78.5731	51.0062	91.1265	88.9009	90.1092	22.1465	23.6894
ACVR1B	19.018	12.8173	27.8083	14.3885	19.4042	16.6354	15.7078	15.5276	10.6155	10.0851	9.53894	27.7975	35.9833
ADH5	105.933	75.7519	77.2095	119.299	116.083	139.861	117.52	93.8362	112.683	110.219	112.511	38.7992	45.2497
ADK	35.1425	5.79133	9.33138	25.0511	36.3065	46.3036	28.2423	19.86	24.6876	26.8524	27.9168	13.3714	11.1675
ADO	16.9891	9.22087	9.9228	16.7449	17.5128	22.0623	15.5369	13.3029	19.0907	20.0076	20.181	8.99999	10.2716
AGFG1	16.293	18.8621	9.3945	24.2752	16.7589	19.1133	24.159	19.5432	22.6005	24.0129	22.1733	14.4646	22.298
AHSA1	109.423	43.4668	48.553	91.3911	108.647	121.293	100.065	74.216	101.227	96.5447	107.237	37.5921	42.4032
AKAP11	11.1079	2.34644	7.04566	12.2248	10.2607	12.903	12.149	9.55514	11.2967	12.4057	9.90161	14.819	12.8126
AKAP13	8.53836	23.6915	18.3245	36.0381	7.76728	8.07769	38.6459	34.4764	9.48843	10.0797	8.7388	23.0406	15.6407
ALKBH1	9.11967	7.07826	4.61598	7.90853	8.3827	10.312	9.20738	6.18694	8.74226	8.78746	9.3932	4.58244	4.90779
ANAPC5	47.2708	40.131	20.0611	45.3356	57.5099	55.2549	43.773	47.6706	47.9569	47.9904	49.2741	41.6575	45.7157
ANO6	28.8856	32.1541	27.8731	41.0929	28.822	33.4644	43.1756	33.9651	27.6355	30.4806	25.9508	26.5224	31.8382
ANXA11	11.2438	240.336	71.7904	33.179	13.6611	9.89834	32.7594	42.1881	23.0375	20.0094	22.9225	43.1336	51.9951
AP3M1	32.7731	8.05144	12.2928	29.8091	31.0183	40.8111	30.679	23.6743	23.3179	24.6935	23.112	15.46	14.8342
ARFIP1	29.8882	12.5867	20.1147	36.8843	30.0368	37.0781	32.6056	26.9186	27.5487	26.2285	27.3763	18.5341	19.4501
ARG2	53.1304	42.5935	19.7918	31.1399	57.9102	73.7289	30.9808	27.6366	69.8201	67.0131	70.7013	5.42702	5.27192
ARHGAP17	22.4711	32.8327	17.5995	29.5136	22.9095	24.2992	27.9548	30.0886	26.1562	24.6209	23.9119	25.2061	36.4594
ARHGDIA	29.6174	387.597	214.917	27.4952	26.3855	17.217	27.778	47.5842	19.0029	19.3076	19.4178	82.7605	86.7615
ARL1	42.2284	14.0038	26.3772	37.7706	44.8187	49.5234	34.6483	29.7788	33.6779	35.0226	33.9153	32.9149	36.3353
ARL14EP	23.4595	10.7863	7.71147	16.1511	23.4992	29.1859	14.6966	11.7685	21.1416	19.9833	22.4383	11.2274	13.4774
ARL6IP4	38.9193	381.245	111.658	19.2522	42.7372	25.9451	18.4207	35.5577	21.3142	19.1931	22.0531	58.9234	67.2121
ARV1	11.7278	11.6868	17.8727	14.6346	12.3974	17.8908	13.2647	11.5167	11.226	13.167	13.6599	9.70519	11.9031
ATAD1	49.2509	5.95116	13.3963	44.8836	52.0506	58.134	44.4394	29.9252	28.1855	31.235	29.682	17.2071	17.5171
ATP5B	559.972	967.731	491.177	490.824	576.853	665.848	532.98	409.96	622.966	606.828	616.109	238.817	256.747
ATP5G2	260.863	492.154	272.737	71.4307	285.995	189.994	72.3916	125.824	181.227	159.533	177.2	184.424	203.959
AVPI1	1.87716	79.3824	19.303	1.31304	2.18758	2.10461	1.05073	1.95232	3.72499	2.7915	3.47738	27.0566	41.9626
AZI2	28.7589	20.3885	13.0433	29.7534	26.5543	32.8215	28.4575	20.9166	18.1754	19.3397	19.3062	13.7429	13.848
B3GALTL	6.30927	1.7985	1.94707	17.6207	6.11955	7.39673	17.9231	13.0875	3.87027	4.00073	4.61936	4.20524	3.09535
B3GNT5	18.7186	41.3981	22.9339	57.374	16.247	20.3137	53.1528	40.3882	7.20733	7.43132	7.03969	21.9765	32.127
B4GALT4	24.9874	20.4968	22.4673	175.448	28.7537	28.5716	168.146	141.249	27.7788	27.7376	31.2061	36.1142	31.1796
BASP1	72.8813	13.5957	9.05662	103.373	61.587	71.6781	99.2658	81.3373	90.6571	93.901	99.5629	41.2383	2.66086
BAZ2A	22.4573	13.8369	15.6667	27.9951	25.7951	21.9657	28.9717	36.026	27.5454	27.4815	24.6352	21.0346	21.3377
BCAP29	10.2252	6.03762	7.5365	15.0995	10.747	13.813	14.4366	9.73859	5.19409	4.99445	5.2621	8.7011	4.79056
BCL2L1	15.9487	162.56	70.7706	17.9315	12.6025	11.6999	18.5187	20.283	37.2342	34.8466	38.2296	20.6585	22.6104
BCOR	9.05434	2.35531	7.09796	14.2301	7.85622	7.31941	15.1123	14.2111	17.12	16.3318	17.727	12.8473	15.5907
BTBD2	7.8524	42.3851	44.2127	3.13863	7.9882	4.12227	2.94099	9.84169	5.34113	5.29531	5.05531	34.742	43.6902
BTF3	644.63	498.539	247.532	436.418	690.484	707.802	420.365	330.355	443.014	441.268	465.94	183.624	289.729
BTF3L4	25.9428	4.94647	7.29342	22.1423	27.4914	31.7619	20.1994	16.3483	28.2276	28.3766	27.3454	4.97847	5.23259
BTG1	12.1936	54.2178	40.8528	5.12799	9.92863	11.5072	4.26985	3.64126	8.21458	8.15004	8.09445	25.0926	17.4699
BTG3	58.3892	15.37	13.3254	30.7337	52.3523	63.2499	32.2485	25.3631	24.4503	20.658	19.9298	22.5117	17.2892
C11orf54	16.6465	45.7199	16.3156	17.6123	18.929	18.292	13.1172	13.7552	14.4374	14.6979	13.6769	26.3026	40.1816
C17orf75	13.2142	2.46928	2.91405	10.9666	13.6026	15.4391	11.5983	10.1494	10.4925	11.4425	11.9823	3.85004	4.13227
C7orf49	18.076	28.9131	26.1229	23.2215	20.7733	19.4584	17.4304	19.8929	20.7539	18.4935	20.8892	14.4729	13.9807
CAB39L	7.5583	1.14091	4.39306	6.10167	6.95339	8.02727	4.32897	4.51218	3.90417	3.86546	4.0973	3.85021	1.93896
CAPN2	55.6576	51.8351	39.5733	42.7561	52.537	51.6551	45.149	38.3844	20.8578	21.799	20.9661	62.5281	32.3774
CARKD	11.2806	43.9685	32.6869	11.2548	11.48	9.32408	12.3822	15.8679	10.6142	10.5049	10.6877	22.3757	18.3047
CAST	27.5215	80.2293	27.4709	22.8269	33.2746	34.3994	21.9655	22.3643	31.612	31.7385	26.6074	70.2686	90.4171
CCDC117	33.1566	10.6081	10.0327	30.5434	36.4418	43.9562	26.146	22.4833	29.9217	33.0405	30.7913	16.3453	18.6606
CCNYL1	7.19374	17.0499	9.19196	54.0196	6.96019	8.83788	50.7845	38.7195	23.3926	23.1714	23.8627	7.48027	7.33936
CCT2	389.71	57.873	52.6236	325.859	411.36	502.171	366.01	246.479	334.855	337.764	344.764	58.9414	62.8483
CDKN1B	32.1534	42.5901	71.7688	40.6654	25.0916	30.1804	36.6525	28.2869	12.5152	14.4629	14.7288	40.5356	43.8288
CELF1	51.2093	17.0429	23.5772	74.2236	57.5287	56.359	79.0374	77.9468	58.7252	63.644	61.9377	22.6345	24.7458
CELF2	6.2977	3.39126	7.86856	50.8129	4.34651	4.86457	50.2843	41.2108	12.2456	13.149	12.2971	6.47894	2.54598
CEP76	10.0159	3.34577	2.22337	11.0828	10.7196	13.7888	10.9914	8.97702	11.6419	11.6661	11.5294	3.47374	2.9488
CHD2	20.1047	14.0171	13.7505	36.237	21.1446	20.7175	38.6725	36.9832	20.2266	20.3385	18.6009	20.7114	21.9923
CHEK2	30.4041	3.84976	6.82769	20.7654	34.3224	39.7072	17.2684	17.8506	39.3517	40.4792	42.0807	6.29988	9.33176
CISD1	18.0929	62.0279	25.561	15.9173	17.9627	22.0088	17.0457	10.7658	13.1992	13.8074	14.2902	12.1861	18.7149
CLEC2D	1.35222	6.91314	11.421	2.12875	1.10504	1.27124	1.82886	1.69072	2.00034	2.09321	2.09089	2.0962	3.16313
CLOCK	5.34944	3.97294	4.72883	9.23425	6.13023	7.07111	8.79828	8.58944	7.1242	7.69238	6.72837	6.56476	6.3828
CNIH1	117.805	88.2544	79.8456	57.2186	122.843	146.12	60.6724	43.0415	76.0113	75.6796	79.3482	47.5982	67.5385
