Genes	tracking_id	Adult_SI-1	D4CF-1	ES1	Fetal_SI-1	Adult_SI-2	D4CF-2	DE2	ES2	Fetal_SI-2	Adult_SI-3	D4CF-3	DE3	ES3
ADK	5.67103	35.1425	25.0511	24.6876	13.3714	5.79133	36.3065	28.2423	26.8524	11.1675	9.33138	46.3036	19.86	27.9168
AGMO	7.4984	0.387624	0.147188	0.192456	0.430232	14.3151	0.251761	0.103061	0.424811	0.816518	0.977437	0.594521	0.0828079	0.146363
AGR2	86.9799	2.63671	0.14303	0	465.292	176.187	1.33444	0.300447	0.232205	465.047	544.226	1.09126	0.241405	0.060955
AKAP6	0.277736	1.05466	0.558039	0.13413	5.4798	0.353483	0.515537	0.635906	0.189483	1.17977	1.09623	0.7317	0.56019	0.0792733
AKR1C4	0	0.0593987	0	0	0.0411718	1.2259	0	0	0	0	0.430625	0	0	0
AMD1	30.142	72.2834	94.1043	129.787	22.8835	40.2676	72.2729	90.7744	134.302	37.1627	37.8146	96.1501	65.5784	135.408
APOLD1	0	3.32974	1.32973	0.209128	4.22256	2.16419	1.72047	1.40539	0.176498	3.86801	33.4581	2.09436	1.25625	0.213846
BCL9	3.62359	17.3962	17.2306	19.8991	16.1124	0.80206	17.6817	17.4197	20.8844	14.1848	5.26243	15.5413	20.3928	18.3341
BHLHE40	5.3439	13.0852	13.8588	0.540543	33.9969	9.77691	12.0484	17.2023	0.617881	50.7081	33.6213	9.13534	14.1541	0.453033
C2orf47	44.2576	13.2908	19.9483	18.434	8.87345	26.8056	13.0792	17.5493	19.7452	9.89272	17.6791	15.9926	13.621	22.2344
C3orf52	5.63096	98.5221	5.26622	10.1682	7.6353	7.16667	106.066	5.75534	10.5243	7.79269	3.5455	165.424	4.11058	11.0813
CCDC129	0	0.120575	0.680162	0.208342	0.0358534	0	0	0.827861	0.229695	0.0505956	0.19362	0.0524392	0.683457	0.192159
CDX2	111.51	86.3484	0	0.0763391	71.1037	103.216	116.761	0.0726753	0.112336	90.8767	90.6134	97.8222	0	0.0221167
CENPH	0.801682	92.2633	58.5782	89.211	4.87563	3.06097	127.727	56.6196	94.1335	4.66625	6.54036	136.597	42.901	92.7646
CEP41	0.156747	7.6201	2.86256	2.90409	2.86732	0.58606	7.28029	3.04766	3.02569	1.93107	2.2732	7.38962	2.38783	2.86377
CKS1B	9.39031	48.6717	26.9149	39.2509	4.37864	11.9513	59.9407	35.035	41.6508	6.01283	16.0898	58.9702	25.5802	45.8204
COPA	62.3247	56.6073	72.0913	49.1367	44.658	49.0517	58.5733	78.4948	48.3277	54.1867	25.3865	61.6732	68.7545	44.641
COX7A2L	142.352	156.646	106.155	106.924	81.8372	189.168	147.934	103.136	100.781	172.134	149.403	150.84	100.709	112.814
CPB2-AS1	0	0.428303	0.0369657	0.126885	0.135091	0	0.235974	0.0517695	0.160043	0.0142988	0	0.232473	0.056918	0.0630185
CYB5B	29.6059	44.7265	48.805	42.8288	13.2681	37.3858	44.4519	50.0556	43.679	15.0414	31.3439	48.3644	43.2749	46.7401
DNAJB2	62.3901	14.6055	22.1067	7.68672	23.7688	52.762	14.6912	19.7447	6.68184	16.9744	33.2069	10.6223	31.4457	7.59695
DNASE1	62.7036	1.88637	0.962522	1.43501	43.1965	50.2935	1.95776	1.05162	1.44087	52.8917	8.35557	0.96774	1.73357	1.47696
DUS4L	2.09546	9.50293	7.39292	8.94391	3.57567	3.12835	9.69003	7.24433	9.8032	3.82936	3.21947	12.156	6.15099	10.128
DUSP6	12.3569	147.434	32.9432	61.8916	28.5831	19.6646	150.646	37.9438	59.0217	28.989	25.3474	188.324	23.9655	62.2271
ECH1	241.561	25.5469	16.5185	31.6758	76.9072	252.582	32.0008	15.9864	26.4757	137.286	54.0962	17.2351	38.8305	31.6113
FABP9	0	0	0	0	0	0	0	0	0	0	0	0.25632	0	0
FAM175B	14.5789	14.6926	15.786	11.9535	8.28036	7.76718	15.8653	14.6912	13.4521	8.24128	10.417	18.2051	13.5804	13.5402
FAM231A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
