Genes	AS1	AS2	AS3	D4CF1	D4CF2	D4CF3	DE2	DE3	ES1	ES2	ES3	F1	F2
ADK	35.1425	5.79133	9.33138	25.0511	36.3065	46.3036	28.2423	19.86	24.6876	26.8524	27.9168	13.3714	11.1675
AMD1	72.2834	40.2676	37.8146	94.1043	72.2729	96.1501	90.7744	65.5784	129.787	134.302	135.408	22.8835	37.1627
C2orf47	13.2908	26.8056	17.6791	19.9483	13.0792	15.9926	17.5493	13.621	18.434	19.7452	22.2344	8.87345	9.89272
C3orf52	98.5221	7.16667	3.5455	5.26622	106.066	165.424	5.75534	4.11058	10.1682	10.5243	11.0813	7.6353	7.79269
CENPH	92.2633	3.06097	6.54036	58.5782	127.727	136.597	56.6196	42.901	89.211	94.1335	92.7646	4.87563	4.66625
CKS1B	48.6717	11.9513	16.0898	26.9149	59.9407	58.9702	35.035	25.5802	39.2509	41.6508	45.8204	4.37864	6.01283
COPA	56.6073	49.0517	25.3865	72.0913	58.5733	61.6732	78.4948	68.7545	49.1367	48.3277	44.641	44.658	54.1867
COX7A2L	156.646	189.168	149.403	106.155	147.934	150.84	103.136	100.709	106.924	100.781	112.814	81.8372	172.134
CYB5B	44.7265	37.3858	31.3439	48.805	44.4519	48.3644	50.0556	43.2749	42.8288	43.679	46.7401	13.2681	15.0414
DNAJB2	14.6055	52.762	33.2069	22.1067	14.6912	10.6223	19.7447	31.4457	7.68672	6.68184	7.59695	23.7688	16.9744
DUS4L	9.50293	3.12835	3.21947	7.39292	9.69003	12.156	7.24433	6.15099	8.94391	9.8032	10.128	3.57567	3.82936
DUSP6	147.434	19.6646	25.3474	32.9432	150.646	188.324	37.9438	23.9655	61.8916	59.0217	62.2271	28.5831	28.989
ECH1	25.5469	252.582	54.0962	16.5185	32.0008	17.2351	15.9864	38.8305	31.6758	26.4757	31.6113	76.9072	137.286
FAM175B	14.6926	7.76718	10.417	15.786	15.8653	18.2051	14.6912	13.5804	11.9535	13.4521	13.5402	8.28036	8.24128
FBXO10	7.90811	1.92407	2.53336	5.7355	9.59635	7.31041	6.28278	8.31794	4.29969	5.21441	4.51924	2.82294	1.90235
FLAD1	15.5526	25.7195	23.9747	10.9721	16.7453	11.5051	10.7218	16.944	26.242	23.3612	27.8603	10.6382	10.2651
GCC2	20.8516	12.3852	8.09807	20.2406	23.761	36.654	20.2297	17.1736	18.2215	19.3022	16.2109	22.7024	31.0489
HNMT	8.31444	16.2878	14.5311	5.01948	9.66776	8.66112	5.46597	5.03066	2.46276	1.90492	2.46556	25.8847	26.4559
HSD17B7	8.25622	3.67465	9.03428	9.82876	11.265	11.5983	6.9414	6.67372	11.4667	11.5549	11.844	1.39251	4.40046
IL4R	4.55197	19.7276	25.6671	5.08565	5.75285	3.29683	4.98806	9.33174	7.80961	7.21204	8.05247	12.1653	12.899
ITSN1	23.2908	14.9062	4.14219	25.3153	23.2719	28.2933	27.2658	21.4672	45.7772	45.8223	42.3011	12.9623	11.3834
KCTD3	37.5392	45.1491	29.186	40.1202	41.7687	49.107	38.5585	30.6953	51.3499	52.515	50.5424	26.3641	31.8878
METTL10	17.5688	4.56185	4.98368	15.7163	19.434	21.3498	15.2092	10.7423	11.3407	12.3386	11.4363	5.26254	5.97324
