Genes	tracking_id	AS1	D4CF1	ES1	FS1	AS2	D4CF2	DE2	ES2	FS2	AS3	D4CF3	DE3	ES3
ABCA5	22.5897	0.735999	2.50061	1.28848	15.4252	10.9881	0.430201	2.12325	1.14223	27.5787	2.3123	0.583227	1.38404	1.4049
ABCB5	0	0.0861766	0.0733022	0.0267417	0	0	0	0.191389	0.0396687	0	0	0	0.0150284	0
ABCB7	9.45731	36.5494	21.111	28.716	11.1971	9.84812	41.4547	22.4502	30.2412	16.0795	6.74012	46.6382	16.3483	29.5322
ABCC6P1	12.3832	0.256171	0.132645	0.0433599	2.58497	2.86553	0.350639	0.154796	0	10.026	1.42547	0.257967	0.174127	0.0188431
ABCC6P2	3.83027	0.233805	0	0.217659	1.6993	2.43744	0.414152	0.155409	0.240221	6.48651	2.99849	0.199222	0	0.189177
ABHD12	42.1281	24.3738	16.212	20.2574	28.4465	65.3611	30.9512	16.7808	18.9849	38.3041	18.4999	23.0704	23.8119	21.0687
ABL1	8.00906	15.1399	11.3224	17.3179	33.4159	12.0449	14.8426	10.5377	17.0579	23.4166	39.9144	9.73341	17.3592	17.1267
ABL2	2.23961	7.29205	6.36291	5.92293	4.06991	2.00584	7.38503	6.6112	6.21847	3.46295	3.9936	8.21086	6.63143	5.45291
ACADS	323.006	0.719446	0.455311	0.542187	31.9584	285.094	0.45514	0.500983	0.281595	31.4623	64.7692	0.175151	1.42716	0.33264
ACKR2	0.68599	0.0638821	0	0	0.768211	0.436539	0.113158	0.14154	0.0875133	0.844661	1.57118	0.0907218	0.250197	0.0172295
ACPP	0	0.34866	4.34843	0.653907	0.476056	0.743218	0.282232	4.66631	0.826439	0.379005	1.91291	0.131605	5.32123	0.95932
ACSF3	25.3431	2.12069	1.00692	2.1504	5.16512	21.9543	1.82011	1.27893	1.90945	7.85285	13.4654	1.37856	2.17156	1.85749
ACSM3	0	3.85253	0.197307	2.45807	9.06289	3.97409	6.06871	0.427598	2.51751	5.27261	1.2405	4.65357	0.396301	2.066
ACSS3	0.668224	16.3052	54.8246	14.1363	1.71268	0.850467	21.0371	58.0508	16.1345	2.22469	0.89589	28.0521	47.0862	13.1929
ACTL6A	34.4651	119.817	72.16	91.1265	22.1465	24.7757	121.087	78.5731	88.9009	23.6894	16.5575	165.639	51.0062	90.1092
ACTL9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVR1B	14.0115	19.018	14.3885	10.6155	27.7975	12.8173	19.4042	15.7078	10.0851	35.9833	27.8083	16.6354	15.5276	9.53894
ACVR1C	1.95467	0.240037	0.312501	0.504383	3.59934	0.878034	0.340243	0.455901	0.500299	8.47999	1.00145	0.299054	0.432209	0.423134
ADAM21P1	0.5133	0	0.0603909	0	0.0220623	0	0.0281718	0.0422855	0.0326811	0.046767	0	0.0271034	0.237831	0
ADAM22	0.418016	8.06811	1.27309	6.78704	4.17534	0.133	8.99719	1.34475	6.98948	3.48288	0.887238	9.72531	1.04925	5.82017
ADCY4	1.17675	0	0	0.102025	2.10757	1.49775	0.0161756	0	0.150136	1.51586	3.93164	0.0155619	0.05853	0.103454
ADH5	114.787	105.933	119.299	112.683	38.7992	75.7519	116.083	117.52	110.219	45.2497	77.2095	139.861	93.8362	112.511
ADIPOQ	0	0.0402379	0	0	0	0	0.0237527	0	0	0	36.4994	0.0457168	1.29478e-06	0
ADK	5.67103	35.1425	25.0511	24.6876	13.3714	5.79133	36.3065	28.2423	26.8524	11.1675	9.33138	46.3036	19.86	27.9168
ADM5	0.49626	0.399854	0.467175	0.658578	0.298681	0.631604	0.435866	0.899565	0.347622	0.565241	2.38436	0.262085	1.93839	0.547515
ADO	9.1233	16.9891	16.7449	19.0907	8.99999	9.22087	17.5128	15.5369	20.0076	10.2716	9.9228	22.0623	13.3029	20.181
AFF2	0	3.70455	0.37341	2.87723	0.681253	0	4.24712	0.381161	2.87593	0.260268	0.148227	4.26838	0.5087	2.37495
AGAP9	0	0	0	0	0	0	0	0	0	0	0.0484302	0	0	0
AGFG1	15.3774	16.293	24.2752	22.6005	14.4646	18.8621	16.7589	24.159	24.0129	22.298	9.3945	19.1133	19.5432	22.1733
AHSA1	66.7165	109.423	91.3911	101.227	37.5921	43.4668	108.647	100.065	96.5447	42.4032	48.553	121.293	74.216	107.237
AKAP11	3.68726	11.1079	12.2248	11.2967	14.819	2.34644	10.2607	12.149	12.4057	12.8126	7.04566	12.903	9.55514	9.90161
AKAP13	23.1419	8.53836	36.0381	9.48843	23.0406	23.6915	7.76728	38.6459	10.0797	15.6407	18.3245	8.07769	34.4764	8.7388
AKAP5	0.300277	3.39995	1.18817	2.33908	5.26346	0.191085	4.04534	1.2293	2.14009	3.50298	0.570259	4.15456	1.15734	1.97254
AKR1C3	567.793	0.294283	5.13409	2.35775	0.877429	297.558	0.208504	5.02609	2.1281	4.78865	117.874	0.250676	3.87175	2.76233
AKR1C4	0	0.0593987	0	0	0.0411718	1.2259	0	0	0	0	0.430625	0	0	0
ALKBH1	5.95874	9.11967	7.90853	8.74226	4.58244	7.07826	8.3827	9.20738	8.78746	4.90779	4.61598	10.312	6.18694	9.3932
AMBP	2.31822	0	0	0.844613	5.19789	0.983486	0.042292	0.126959	0.883103	1.26523	0.949936	0	0.0510051	0.850003
AMIGO2	0.993525	4.81126	3.78625	3.08447	13.658	0.421496	4.77118	5.46688	2.71128	8.93818	7.80889	4.57288	3.31638	3.02992
AMPD1	0	0.026725	0	0	0.0185387	2.7494	0	0.0355279	0	0.0196392	0.144763	0	0	0
AMY1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMY1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMY1C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAPC5	52.5505	47.2708	45.3356	47.9569	41.6575	40.131	57.5099	43.773	47.9904	45.7157	20.0611	55.2549	47.6706	49.2741
ANGPTL5	0	0	0	0	0.0188121	0	0	0	0	0.0398592	0.146573	0	0	0.0219429
ANGPTL7	0	0	0.106828	0.0261905	0.0780604	0	0	0.0748005	0	0	0.659022	0	0.0901518	0.0227634
ANKRD20A12P	0	0.0381079	0	0	0.0264277	0	0	0	0	0	0	0.0649424	0	0
ANKRD34C	0	0	0	0	0	0.230074	0	0	0	0	0.0403899	0.00957968	0	0.0181934
ANKRD36BP2	0	0.076915	0	0	0.10668	0.79078	0.102183	0.2045	0.0395127	0.113142	0.555442	0.196615	0	0.0622338
ANKRD62P1-PARP4P3	0	0	0	0	0.0305044	0	0	0	0	0	0	0	0	0
ANO4	0	0.723768	2.41884	1.22105	0.430655	0.669109	0.245924	2.79253	0.872648	0.865327	0.0293655	0.448961	2.39714	0.991187
ANO6	19.358	28.8856	41.0929	27.6355	26.5224	32.1541	28.822	43.1756	30.4806	31.8382	27.8731	33.4644	33.9651	25.9508
ANXA11	232.153	11.2438	33.179	23.0375	43.1336	240.336	13.6611	32.7594	20.0094	51.9951	71.7904	9.89834	42.1881	22.9225
AP3M1	7.09294	32.7731	29.8091	23.3179	15.46	8.05144	31.0183	30.679	24.6935	14.8342	12.2928	40.8111	23.6743	23.112
APOA2	0	28.5784	33.5492	0	25.1571	4.63226	10.0472	28.1313	0	38.5426	0.407472	10.9673	31.458	0
APOBEC1	269.574	0	0	0	2.54077	231.677	0	0	0	14.2282	21.749	0	0	0.0690173
APOLD1	0	3.32974	1.32973	0.209128	4.22256	2.16419	1.72047	1.40539	0.176498	3.86801	33.4581	2.09436	1.25625	0.213846
ARAP2	8.30082	0.221366	0.856133	0.511379	1.63868	12.2416	0.174274	0.926441	0.581235	4.82536	2.09009	0.265469	0.884502	0.457732
