Genes	ES1	ES2	DE3	DE2	DE3	ES1	D4CF2	D4CF3	FS1	FS2	AS1	AS2	AS3
A2M-AS1	1.54976	1.4537	1.41095	1.24271	1.41095	1.54976	1.5397	1.88517	2.2912	1.88503	1.74684	1	1.872
AADACL4	1.03985	1.13194	1	1	1	1.03985	1	1	1	1	1	1	1
AASDH	10.4031	11.2292	8.79646	9.17515	8.79646	10.4031	12.1474	13.279	8.02546	7.58341	10.7295	3.57608	4.08183
AATF	47.8769	48.6271	44.2358	64.1143	44.2358	47.8769	38.5941	44.8099	14.2185	18.9277	43.9013	38.9479	21.0439
ABCA10	1.00892	1	1.07162	1.05117	1.07162	1.00892	1	1	1.79874	1.95699	1	2.95958	1.3612
ABCA5	2.28848	2.14223	2.38404	3.12325	2.38404	2.28848	1.4302	1.58323	16.4252	28.5787	1.736	11.9881	3.3123
ABCA6	1	1	1	1	1	1	1	1	1.49586	1.10998	1	3.12282	2.57348
ABCB5	1.02674	1.03967	1.01503	1.19139	1.01503	1.02674	1	1	1	1	1.08618	1	1
ABCB7	29.716	31.2412	17.3483	23.4502	17.3483	29.716	42.4547	47.6382	12.1971	17.0795	37.5494	10.8481	7.74012
ABCC6P1	1.04336	1	1.17413	1.1548	1.17413	1.04336	1.35064	1.25797	3.58497	11.026	1.25617	3.86553	2.42547
ABCC6P2	1.21766	1.24022	1	1.15541	1	1.21766	1.41415	1.19922	2.6993	7.48651	1.23381	3.43744	3.99849
ABCD2	1.01064	1.03521	1.0122	1	1.0122	1.01064	1.05059	1.06814	2.1416	1	1.0457	1.2338	1.26679
ABCG2	2.00595	2.18461	1.20012	1.53646	1.20012	2.00595	5.68374	6.30771	3.567	4.25794	7.01117	37.3845	6.28508
ABHD12	21.2574	19.9849	24.8119	17.7808	24.8119	21.2574	31.9512	24.0704	29.4465	39.3041	25.3738	66.3611	19.4999
ABI2	54.8286	57.7357	37.1194	36.3144	37.1194	54.8286	67.9318	75.0834	15.8259	8.35828	64.0085	3.65908	7.62301
ABL1	18.3179	18.0579	18.3592	11.5377	18.3592	18.3179	15.8426	10.7334	34.4159	24.4166	16.1399	13.0449	40.9144
ABL2	6.92293	7.21847	7.63143	7.6112	7.63143	6.92293	8.38503	9.21086	5.06991	4.46295	8.29205	3.00584	4.9936
ABT1	11.189	11.3374	10.9858	10.3211	10.9858	11.189	12.9656	13.0704	9.91664	11.2226	14.3961	22.6469	27.5543
ACADS	1.54219	1.2816	2.42716	1.50098	2.42716	1.54219	1.45514	1.17515	32.9584	32.4623	1.71945	286.094	65.7692
ACBD7	15.0294	15.9885	3.81155	3.75992	3.81155	15.0294	6.86098	8.43928	2.26038	1.6126	7.04288	1.37982	2.2003
ACD	4.02215	4.6444	6.45384	2.1182	6.45384	4.02215	4.5062	2.91596	8.36005	11.0787	4.2937	9.45584	5.31721
ACKR2	1	1.08751	1.2502	1.14154	1.2502	1	1.11316	1.09072	1.76821	1.84466	1.06388	1.43654	2.57118
ACPP	1.65391	1.82644	6.32123	5.66631	6.32123	1.65391	1.28223	1.1316	1.47606	1.37901	1.34866	1.74322	2.91291
ACSF3	3.1504	2.90945	3.17156	2.27893	3.17156	3.1504	2.82011	2.37856	6.16512	8.85285	3.12069	22.9543	14.4654
ACSM3	3.45807	3.51751	1.3963	1.4276	1.3963	3.45807	7.06871	5.65357	10.0629	6.27261	4.85253	4.97409	2.2405
