Genes	ES1	ES2	DE3	DE2	DE3	ES1	D4CF2	D4CF3	FS1	FS2	AS1	AS2	ASI3
ADK	25.6876	27.8524	20.86	29.2423	20.86	25.6876	37.3065	47.3036	14.3714	12.1675	36.1425	6.79133	10.3314
AGMO	1.19246	1.42481	1.08281	1.10306	1.08281	1.19246	1.25176	1.59452	1.43023	1.81652	1.38762	15.3151	1.97744
AGR2	1	1.2322	1.24141	1.30045	1.24141	1	2.33444	2.09126	466.292	466.047	3.63671	177.187	545.226
AKAP6	1.13413	1.18948	1.56019	1.63591	1.56019	1.13413	1.51554	1.7317	6.4798	2.17977	2.05466	1.35348	2.09623
AKR1C4	1	1	1	1	1	1	1	1	1.04117	1	1.0594	2.2259	1.43063
AMD1	130.787	135.302	66.5784	91.7744	66.5784	130.787	73.2729	97.1501	23.8835	38.1627	73.2834	41.2676	38.8146
APOLD1	1.20913	1.1765	2.25625	2.40539	2.25625	1.20913	2.72047	3.09436	5.22256	4.86801	4.32974	3.16419	34.4581
BCL9	20.8991	21.8844	21.3928	18.4197	21.3928	20.8991	18.6817	16.5413	17.1124	15.1848	18.3962	1.80206	6.26243
BHLHE40	1.54054	1.61788	15.1541	18.2023	15.1541	1.54054	13.0484	10.1353	34.9969	51.7081	14.0852	10.7769	34.6213
C2orf47	19.434	20.7452	14.621	18.5493	14.621	19.434	14.0792	16.9926	9.87345	10.8927	14.2908	27.8056	18.6791
C3orf52	11.1682	11.5243	5.11058	6.75534	5.11058	11.1682	107.066	166.424	8.6353	8.79269	99.5221	8.16667	4.5455
CCDC129	1.20834	1.22969	1.68346	1.82786	1.68346	1.20834	1	1.05244	1.03585	1.0506	1.12058	1	1.19362
CDX2	1.07634	1.11234	1	1.07268	1	1.07634	117.761	98.8222	72.1037	91.8767	87.3484	104.216	91.6134
CENPH	90.211	95.1335	43.901	57.6196	43.901	90.211	128.727	137.597	5.87563	5.66625	93.2633	4.06097	7.54036
CEP41	3.90409	4.02569	3.38783	4.04766	3.38783	3.90409	8.28029	8.38962	3.86732	2.93107	8.6201	1.58606	3.2732
CKS1B	40.2509	42.6508	26.5802	36.035	26.5802	40.2509	60.9407	59.9702	5.37864	7.01283	49.6717	12.9513	17.0898
COPA	50.1367	49.3277	69.7545	79.4948	69.7545	50.1367	59.5733	62.6732	45.658	55.1867	57.6073	50.0517	26.3865
COX7A2L	107.924	101.781	101.709	104.136	101.709	107.924	148.934	151.84	82.8372	173.134	157.646	190.168	150.403
CPB2-AS1	1.12688	1.16004	1.05692	1.05177	1.05692	1.12688	1.23597	1.23247	1.13509	1.0143	1.4283	1	1
CYB5B	43.8288	44.679	44.2749	51.0556	44.2749	43.8288	45.4519	49.3644	14.2681	16.0414	45.7265	38.3858	32.3439
DNAJB2	8.68672	7.68184	32.4457	20.7447	32.4457	8.68672	15.6912	11.6223	24.7688	17.9744	15.6055	53.762	34.2069
DNASE1	2.43501	2.44087	2.73357	2.05162	2.73357	2.43501	2.95776	1.96774	44.1965	53.8917	2.88637	51.2935	9.35557
DUS4L	9.94391	10.8032	7.15099	8.24433	7.15099	9.94391	10.69	13.156	4.57567	4.82936	10.5029	4.12835	4.21947
DUSP6	62.8916	60.0217	24.9655	38.9438	24.9655	62.8916	151.646	189.324	29.5831	29.989	148.434	20.6646	26.3474
ECH1	32.6758	27.4757	39.8305	16.9864	39.8305	32.6758	33.0008	18.2351	77.9072	138.286	26.5469	253.582	55.0962
FABP9	1	1	1	1	1	1	1	1.25632	1	1	1	1	1
FAM175B	12.9535	14.4521	14.5804	15.6912	14.5804	12.9535	16.8653	19.2051	9.28036	9.24128	15.6926	8.76718	11.417
FAM231A	1	1	1	1	1	1	1	1	1	1	1	1	1
FBXO10	5.29969	6.21441	9.31794	7.28278	9.31794	5.29969	10.5963	8.31041	3.82294	2.90235	8.90811	2.92407	3.53336
FLAD1	27.242	24.3612	17.944	11.7218	17.944	27.242	17.7453	12.5051	11.6382	11.2651	16.5526	26.7195	24.9747
FSBP	7.48669	9.96106	10.9656	6.70445	10.9656	7.48669	5.70538	3.60744	1.54176	1.51969	12.5148	1	1.3709
GCC2	19.2215	20.3022	18.1736	21.2297	18.1736	19.2215	24.761	37.654	23.7024	32.0489	21.8516	13.3852	9.09807
GLT6D1	3.23161	3.46294	1.71125	1.17704	1.71125	3.23161	1	1	1	1	1	1	1
GLYATL1	6.20763	6.53124	2.0919	1.94776	2.0919	6.20763	5.90173	5.03171	3.37165	3.61813	5.1429	1	1.16749
GPR89B	1.05715	1	1	1.16322	1	1.05715	1.13592	1.07846	1.23419	1.58662	1.18416	1	1
GSTA2	1	1.10913	2.30476	2.20025	2.30476	1	2.12891	1.85982	46.1389	83.3547	1.90286	14.1386	13.6911
HIST3H3	1	1.21767	1	1	1	1	1	1	1	1	1	1	1
HLA-DRB6	1	1	1.1216	1.07567	1.1216	1	1.15124	1.19401	6.56344	4.27002	1.28461	1	5.64033
HNMT	3.46276	2.90492	6.03066	6.46597	6.03066	3.46276	10.6678	9.66112	26.8847	27.4559	9.31444	17.2878	15.5311
HSD17B7	12.4667	12.5549	7.67372	7.9414	7.67372	12.4667	12.265	12.5983	2.39251	5.40046	9.25622	4.67465	10.0343
HTR1F	1.22044	1.32439	1.06323	1	1.06323	1.22044	3.9886	3.05135	1.04107	1.07247	3.48638	1	1.071
IL4R	8.80961	8.21204	10.3317	5.98806	10.3317	8.80961	6.75285	4.29683	13.1653	13.899	5.55197	20.7276	26.6671
ITSN1	46.7772	46.8223	22.4672	28.2658	22.4672	46.7772	24.2719	29.2933	13.9623	12.3834	24.2908	15.9062	5.14219
KCNJ13	1.15525	1.14167	1.23933	1.29515	1.23933	1.15525	1.26241	1.26825	2.14803	19.7615	1.03704	8.20956	23.6323
KCTD3	52.3499	53.515	31.6953	39.5585	31.6953	52.3499	42.7687	50.107	27.3641	32.8878	38.5392	46.1491	30.186
KIAA0087	1	1	1	1	1	1	1.03788	1.0243	1.18798	1.02094	1.09981	1	1.15376
KIAA1456	1.53497	1.62799	10.076	13.0534	10.076	1.53497	2.42346	2.79739	2.01357	1.40633	2.41214	1	2.40293
LRRC37A5P	1	1	1	1.08756	1	1	1	1	1	1.04854	1	1	1
METTL10	12.3407	13.3386	11.7423	16.2092	11.7423	12.3407	20.434	22.3498	6.26254	6.97324	18.5688	5.56185	5.98368
MYO7B	1	1.00926	1	1.01198	1	1	1.00798	1	40.0384	83.3427	1	157.91	18.7377
NAV2	21.8891	22.1	7.57377	5.8133	7.57377	21.8891	9.28158	6.73355	6.94422	3.11774	9.36677	2.16269	6.3333
NBPF14	1	1	1	1	1	1	1	1	1	1	1	1	1
NBPF25P	3.25924	2.9592	4.63695	6.08538	4.63695	3.25924	1.90541	2.20727	3.08714	3.08048	2.37331	4.2162	3.91853
NBPF9	1.53671	1.52829	2.05	2.22223	2.05	1.53671	2.86275	2.7175	3.46905	2.51541	3.38694	1	3.70619
