Genes	ES1	ES2	DE3	DE2	DE3	ES1	D4CF2	D4CF3	FSI1	FSI2	AS1	ASI2	ASI3
ACTR3	59.0543	61.4792	61.2905	87.7915	61.2905	59.0543	58.5416	72.9882	26.8166	27.5771	60.7854	56.1974	35.5138
ADK	25.6876	27.8524	20.86	29.2423	20.86	25.6876	37.3065	47.3036	14.3714	12.1675	36.1425	6.79133	10.3314
AGL	13.8356	14.4909	74.9313	88.5939	74.9313	13.8356	18.192	19.7997	11.443	10.2598	17.2751	6.04154	6.47995
AGMO	1.19246	1.42481	1.08281	1.10306	1.08281	1.19246	1.25176	1.59452	1.43023	1.81652	1.38762	15.3151	1.97744
AGR2	1	1.2322	1.24141	1.30045	1.24141	1	2.33444	2.09126	466.292	466.047	3.63671	177.187	545.226
AKAP2	33.6093	35.0188	4.71985	4.57613	4.71985	33.6093	17.1321	17.1549	16.1624	15.0121	19.7546	9.18891	17.0685
AKAP6	1.13413	1.18948	1.56019	1.63591	1.56019	1.13413	1.51554	1.7317	6.4798	2.17977	2.05466	1.35348	2.09623
AKR1C4	1	1	1	1	1	1	1	1	1.04117	1	1.0594	2.2259	1.43063
AKR7A2P1	3.29264	2.99193	3.12684	2.32349	3.12684	3.29264	1.92818	1.58044	3.50646	2.3117	2.15278	1	1.18969
AMBN	1	1	1	1	1	1	3.05249	2.19591	1	1	2.53407	1	1
AMD1	130.787	135.302	66.5784	91.7744	66.5784	130.787	73.2729	97.1501	23.8835	38.1627	73.2834	41.2676	38.8146
AP3M1	24.3179	25.6935	24.6743	31.679	24.6743	24.3179	32.0183	41.8111	16.46	15.8342	33.7731	9.05144	13.2928
APOLD1	1.20913	1.1765	2.25625	2.40539	2.25625	1.20913	2.72047	3.09436	5.22256	4.86801	4.32974	3.16419	34.4581
ASCL4	1	1	1	1	1	1	1	1.02432	1	1	1	1	1
ASS1	30.3887	30.4622	11.6985	10.2219	11.6985	30.3887	6.91393	6.84768	81.2922	306.886	6.49023	328.158	85.8997
ATP5EP2	76.7695	84.9904	61.627	79.7768	61.627	76.7695	86.9968	100.465	112.544	224.461	91.6717	311.979	282.499
ATPAF1	41.6579	43.5394	37.4335	44.3666	37.4335	41.6579	39.684	53.8679	21.9914	19.6413	42.4099	25.3664	29.1973
BCAP29	6.19409	5.99445	10.7386	15.4366	10.7386	6.19409	11.747	14.813	9.7011	5.79056	11.2252	7.03762	8.5365
BCL9	20.8991	21.8844	21.3928	18.4197	21.3928	20.8991	18.6817	16.5413	17.1124	15.1848	18.3962	1.80206	6.26243
BHLHE40	1.54054	1.61788	15.1541	18.2023	15.1541	1.54054	13.0484	10.1353	34.9969	51.7081	14.0852	10.7769	34.6213
BTBD8	1.79115	1.5821	1.60517	1.69041	1.60517	1.79115	1.50179	1.44253	3.58607	2.56366	1.56656	1	1
BTRC	12.5722	12.7667	12.4256	15.0916	12.4256	12.5722	9.39907	10.6816	8.60692	6.40988	10.4468	4.48809	4.65599
BZRAP1-AS1	1.30237	1.24218	1.46327	1.19617	1.46327	1.30237	1.83602	1.87652	2.04696	2.63764	1.97603	1.60844	2.49347
C16orf97	1	1	1	1	1	1	1	1	1	1	1	1	1
C2orf47	19.434	20.7452	14.621	18.5493	14.621	19.434	14.0792	16.9926	9.87345	10.8927	14.2908	27.8056	18.6791
C3orf52	11.1682	11.5243	5.11058	6.75534	5.11058	11.1682	107.066	166.424	8.6353	8.79269	99.5221	8.16667	4.5455
C4orf17	1	1	1	1	1	1	1.0363	1	1	1	1	1	1
C7orf13	3.09624	3.16894	2.77383	2.49673	2.77383	3.09624	2.44589	2.36706	5.66634	7.16451	2.71696	3.31088	4.8546
CACNA1C-IT3	1	1	1	1	1	1	1	1	1	1	1	1	1
CCDC117	30.9217	34.0405	23.4833	27.146	23.4833	30.9217	37.4418	44.9562	17.3453	19.6606	34.1566	11.6081	11.0327
