Genes	AS1	D4CF1	ES1	FS1	AS1	D4CF2	ES2	FS2	AS3	D4CF3	DE3	ES3
0	1	1	1	1	1	1	1	1	1	1	1	1
A1BG	1.33814	1	1.25338	2.17787	10.2692	1.1363	1.05167	1.12051	1.10127	1.69983	1.06403	1.24474
A1BG-AS1	1.56072	2.64034	1.78345	1.34046	1.62567	2.28224	2.44839	1.86776	1.13802	1.36053	1.46112	3.23946
A1CF	1.02588	1.02456	1.05422	11.5231	15.1422	1	1.05161	1.07314	19.8488	6.75228	1.0055	1.02764
A2M	4.34739	1.02559	1.04968	50.6944	26.1135	2.52357	1.17239	1.12305	27.6819	39.4384	2.66235	1.02818
A2M-AS1	1.74684	1.56065	1.54976	2.2912	1	1.5397	1.24271	1.4537	1.88503	1.872	1.88517	1.41095
A2ML1	1.03274	2.31795	3.89569	1.01633	1	1.0145	2.17391	3.12787	1.01202	1.14716	1.01395	2.42032
A2MP1	1	1.33527	1	1.48961	2.21472	1	1	1.12095	1	1	1	1.18862
A3GALT2	1	1	1	1	3.96413	1	1	1	1	1	1	1
A4GALT	1.09325	1.11803	1.63662	3.82438	5.46832	1.08259	1.12397	1.6068	1.52554	23.9769	1.05297	1.53123
A4GNT	1	1	1.03486	1.05195	1	1	1	1	1	1.0676	1	1.04
AA06	1	1	1	1	1	1	1.18228	1	1.10159	1	1	1
AAAS	38.9336	20.7188	25.3338	18.674	26.1667	44.6004	20.9013	22.0096	20.979	8.87207	33.1531	32.5154
AACS	8.85121	12.0814	16.8449	10.6144	21.0623	9.95468	13.3646	16.3208	8.54996	25.0461	6.93589	16.6262
AACSP1	1.08942	1.16976	2.49832	1.12404	1.61193	1.07919	1.39623	2.0718	1.04382	1	1	1.28653
AADAC	1	1	1	10.0562	118.128	1	1	1	48.794	47.5812	1	1
AADACL2	1	1	1	1.0628	1	1	1	1	1	1.24557	1	1
AADACL2-AS1	1	1	1	1.07988	1	1	1	1	1.08536	1	1	1
AADACL3	1	1	1.28664	1	1	1	1.27955	1.34946	1	1	1	1.10367
AADACL4	1	1	1.03985	1	1	1	1	1.13194	1	1	1	1
AADACP1	1	1	1	8.16171	7.69154	1	1	1	18.4051	3.5463	1	1
AADAT	19.4936	72.744	14.4287	9.22409	1	14.7586	70.9009	15.4991	9.9184	2.11083	17.0465	57.3597
AAED1	8.64469	5.69254	7.52814	3.86869	12.8587	8.12708	6.34882	7.08277	3.79416	7.45664	9.47301	5.54329
AAGAB	36.2335	63.3479	33.5546	12.2204	19.3841	35.5911	58.1448	33.0793	11.6588	18.7888	45.4303	41.9939
AAK1	2.62453	4.36472	4.72508	4.14286	3.79006	2.2167	4.46727	4.61879	2.76403	3.06898	2.38899	3.97937
AAMDC	25.2561	28.4829	22.4883	28.9757	112.69	34.9571	26.2245	23.9119	30.2607	11.5499	28.3355	28.9985
AAMP	42.6232	26.5939	46.522	46.3615	136.142	46.304	26.1873	40.502	58.8531	52.4605	29.3229	44.1973
AANAT	1	1.0652	1.09842	1	1	1	1.04565	1.07334	1	1.19162	1	1.11004
AAR2	18.6147	14.3784	18.8117	15.9472	25.2706	18.9694	14.7436	16.6141	15.7476	24.3443	16.5802	17.5627
AARD	1.77902	1.21129	3.17566	1.36017	1	1.68996	1.44384	3.32496	1.08184	1.20087	1.47414	1.31699
AARS	69.2744	56.3914	114.182	27.5444	49.2553	69.845	58.2705	108.036	25.7211	33.3412	56.4046	73.8272
AARS2	6.52509	5.25924	5.92872	8.53448	6.24822	6.9834	5.02185	5.84692	8.12386	8.18652	6.06832	7.2987
AARSD1	22.9786	13.8198	27.2293	11.5012	23.9352	23.192	14.5913	24.9125	15.1154	13.2668	19.1126	15.1178
AASDH	10.7295	9.48407	10.4031	8.02546	3.57608	12.1474	9.17515	11.2292	7.58341	4.08183	13.279	8.79646
AASDHPPT	48.2451	39.9157	27.4017	19.8888	10.9631	45.9934	35.9124	29.3216	15.2614	12.2507	60.6231	28.6034
AASS	27.0242	38.2389	380.591	9.96158	6.93302	28.0663	36.794	406.15	7.93199	4.99878	35.2727	34.0076
AATF	43.9013	53.8633	47.8769	14.2185	38.9479	38.5941	64.1143	48.6271	18.9277	21.0439	44.8099	44.2358
AATK	1.02452	1	1.05937	20.6925	62.7012	1.11125	1.02042	1.06927	28.7316	21.7184	1.03123	1.11814
AATK-AS1	1	1	1	1.32603	1	1.03786	1	1.08783	1.28303	1.07723	1	1
ABAT	9.93874	2.86105	6.33296	26.3331	35.9185	4.75399	3.30158	6.28411	19.1544	12.7798	4.11311	3.63796
ABCA1	2.55008	24.9766	3.67916	5.79765	5.89344	1.86309	29.425	3.76951	4.48722	3.13728	1.92262	23.5408
ABCA10	1	1.12792	1.00892	1.79874	2.95958	1	1.05117	1	1.95699	1.3612	1	1.07162
ABCA11P	9.83472	11.8199	8.45568	6.29106	4.18533	8.03907	10.3791	7.98883	7.2021	4.49475	10.2942	8.71727
ABCA12	1.04468	1.02828	1.0208	1.27907	1	1.03505	1.0099	1.0153	1.02732	1	1.03372	1.01591
ABCA13	1.08641	1.00656	1.03218	1.13194	1	1.01531	1.01838	1.05327	1.0431	1.08059	1.01178	1.01477
ABCA17P	1	1.02797	1.02743	1.07155	1	1.02609	1	1	1.06489	1.13239	1.0251	1.03147
ABCA2	2.32261	1.36464	1.49519	9.23914	1.75549	2.7146	1.25528	1.56172	9.14888	3.86493	1.49731	2.26278
ABCA3	1.53027	1.13887	1.85963	5.06701	2.49624	1.47775	1.21877	1.85481	1.61059	4.25044	1.26487	1.64453
ABCA4	1.7582	1.09388	1.01534	1.2059	3.52849	1.37226	1.05478	1.00847	1.96767	1.82855	1.27387	1.06162
ABCA5	1.736	3.50061	2.28848	16.4252	11.9881	1.4302	3.12325	2.14223	28.5787	3.3123	1.58323	2.38404
ABCA6	1	1.04376	1	1.49586	3.12282	1	1	1	1.10998	2.57348	1	1
ABCA7	1.24845	1.52224	1.67734	2.01603	10.4384	1.16503	1.50722	1.51053	1.47537	2.06742	1.11341	3.48317
ABCA8	1.22957	1.02018	1	6.23417	1.87034	1.07534	1	1	1.44146	4.22762	1.12071	1
ABCA9	1.16363	1	1.00896	1.98861	1	1.07673	1.03839	1.01978	1.16955	2.10623	1.05741	1
ABCB1	8.02365	1.07408	1.2785	5.09761	23.0995	2.65885	1.08646	1.33409	31.8129	7.59075	2.04179	1.01389
ABCB10	12.7758	13.5056	7.84975	10.9878	6.59376	13.9907	13.2589	7.93256	15.5686	10.5893	15.921	9.66583
ABCB11	1.06419	1.02438	1	1.07127	1	1.02274	1	1	1.20735	1	1.01094	1
ABCB4	2.73368	1.05918	1.24134	1.32465	1.33186	2.37765	1.08615	1.40913	1.18319	1.08739	2.11623	1.13845
ABCB5	1.08618	1.0733	1.02674	1	1	1	1.19139	1.03967	1	1	1	1.01503
ABCB6	4.69136	12.3243	12.2218	7.25059	16.3903	5.91326	13.1711	11.178	13.7913	10.3821	4.00319	14.7668
ABCB7	37.5494	22.111	29.716	12.1971	10.8481	42.4547	23.4502	31.2412	17.0795	7.74012	47.6382	17.3483
ABCB8	1.81268	2.04282	2.16584	5.37458	13.9751	1.53097	2.02972	2.08856	4.80822	7.96747	1.37461	2.97271
ABCB9	1.41158	1.19898	1.52572	2.164	3.89196	1.37173	1.17417	1.32684	2.21126	4.57032	1.23911	1.41978
ABCC1	13.5882	8.18398	17.7621	7.27014	1.56639	14.3887	9.23236	18.6652	4.08856	10.2469	12.2374	13.2828
ABCC10	2.76372	2.86083	2.72849	6.44051	3.95123	2.50845	2.95757	2.56828	6.94028	7.95476	1.91221	4.7603
ABCC11	1.05512	1.02616	1.01282	1.03726	1	1.06103	1.05496	1.04248	1.09854	1.04953	1.02348	1.04416
ABCC12	1	1.06734	1	1	1	1.02094	1.03143	1	1	1	1	1.20205
ABCC13	1	1	1	2.66298	7.01564	1	1	1.09917	1.63763	1.40322	1	1
ABCC2	1.19032	1.21256	1.33351	4.54267	12.2262	1.16856	1.04465	1.31057	37.9547	2.70935	1.19079	1.11958
ABCC3	1.03548	1.04491	1.04404	40.6839	78.3662	1	1.01572	1.08506	21.7625	18.4589	1	1.07462
ABCC4	8.77478	41.4583	7.29404	6.76429	1.4259	8.57861	37.7483	6.8844	8.7825	6.89866	9.73784	32.9125
ABCC5	15.0089	14.2674	19.9681	15.1788	8.35672	15.4429	19.3492	20.4725	7.11822	8.66333	16.2053	14.588
ABCC5-AS1	1	1	1	1	1	1	1	1.22752	1	1.41388	1	1
ABCC6	1.11945	1.11339	1.08896	11.6847	9.24692	1.39195	1.31944	1.15413	29.5749	5.16008	1.32239	1.16023
ABCC6P1	1.25617	1.13265	1.04336	3.58497	3.86553	1.35064	1.1548	1	11.026	2.42547	1.25797	1.17413
ABCC6P2	1.23381	1	1.21766	2.6993	3.43744	1.41415	1.15541	1.24022	7.48651	3.99849	1.19922	1
