Gene     RPKM    
       
POGZ                12.7644

GCC2                11.6559

NCOR1               60.2388

CXCR4               15.7311

PDE7B               0.732018

ZCCHC4              3.58218

TLE1                6.40389

HNRNPH3             83.7247

BMPR1B              0.0928121

STATH               0

PDK3                7.21958

CLLU1               0.139032

GXYLT2              0.193393

ABCB5               0

OR10G2              0

TMEM27              0.48748

VNN2                0.758105

SAMSN1              7.47316

LPHN3               0.516945

KCP                 2.21675

NOX4                0.0272597

OR5M9               0

PTPDC1              1.83143

CECR2               0.293995

ESCO2               7.52901

ELK3                5.45623

OR51F2              0

GLT6D1              0

PREX1               3.61431

ITGB5               15.8179

CPO                 7.07404

PECR                28.8293

WFDC8               0

SLC44A1             27.427

MIR4288             0

NFKB2               10.6768

GTSF1               0.743445

SYT16               0.0125666

AURKC               2.09477

MIR4735             0

OR7D2               0.0122033

TXNIP               210.543

C2orf88             40.1808

CHKA                78.1795

PATZ1               8.82534

AGPAT1              0

CHL1                2.28048

WDR38               0.0354056

MMP13               0

MIR205HG            0

CDK13               8.28475

PLS1                225.542

REM2                0.989209

MIR873              0

IBSP                0

ADAMTS18            0

FER                 0.817748

BIN2                2.34539

C6orf226            25.328

LMNA                95.0186

C22orf31            0.0429407

IFNA2               0

IFIT2               5.23469

MIR553              0

SNX30               6.5018

ACTR2               94.5858

MIR34B              0

PNRC1               33.6465

EHBP1               7.43153

A2MP1               0.413113

JDP2                17.3175

MAD1L1              5.82869

VAV3                9.07919

CLEC9A              0.0503668

LPCAT2              2.9028

CHI3L2              0.482406

VWCE                1.2142

TSHB                0

SCARNA23            0

PLA2G2E             0

TPM3                148.944

HSP90AB4P           1.58205

ACADSB              16.4981

HKR1                8.95447

HDHD3               202.075

PVR                 15.4657

DEFB106B            0

WDYHV1              5.02779

SLBP                26.9787

HSD17B4             119.524

KIF5C               1.20951

MSGN1               0

C8B                 0

SPDYC               0.472363

KIAA0087            0.0536715

BAHD1               10.5793

MIR3675             0

SH2D1A              0.096042

MIR181A1            0

UBA2                32.8413

TCL6                0.0118757

ARHGEF33            0.109405

KIAA0040            5.92412

