Gene     RPKM           

SCARNA23            0

TMEM27              0.48748

TANK                33.3007

PDE3A               6.09919

PLK2                7.29885

ERO1LB              3.77963

DST                 10.6193

MIR4735             0

MEX3A               0.453649

ATXN7               5.26152

SOX5                0.411053

TRHR                0

TCN2                13.478

PLCH1               2.39

UQCRH               748.41

PSMG1               18.0873

SCYL1               34.7484

PTH                 0

OR10A5              0

SCEL                0.0254508

CADM2               0.170295

SYT16               0.0125666

DTWD1               3.90915

TTC3                16.6762

PCGEM1              0

LINC00486           0

C9orf3              10.6687

KCNK5               43.5001

PADI4               0.0179115

OTOGL               0.00466713

ADSS                21.8306

GXYLT2              0.193393

SPTA1               0.00470661

HYALP1              0

OR51S1              0

LINC00460           0

CXCR4               15.7311

POLA1               3.35317

RASSF8              1.69986

HAUS6               2.40381

AMOT                4.3538

LOC399815           0.516262

SNORD103A           0

BAHD1               10.5793

RACGAP1             7.59117

OR2A7               1.66691

MIR548H2            0

GCNT4               8.94984

OR5B21              0

HAP1                0.364736

APLNR               1.38926

IDH1                202.18

UGT2B4              0

EDARADD             16.7177

CPA5                0

MIR4652             0

KLRC3               0.829631

LOC100132735        0

RPSAP52             0

SP8                 0

RPL23P8             8.44376

URI1                20.554

CTAGE4              0

MMP13               0

DEFB110             0

BAMBI               0.683655

MIR1233-1           0

COL3A1              20.5433

HIC2                1.26839

MSTN                0.0987079

RAB14               42.9955

HAMP                0

OR2A1               0

KCNG4               0

TDP2                258.867

PLS1                225.542

COX6C               436.31

DEFB105B            0

MIR4509-1           0

SRSF4               66.5216

HIST1H2AL           7.48323

GCC2                11.6559

GPR56               10.3829

USP44               0.149901

MIR448              0

CMAS                133.942

ABCB5               0

PROM1               2.15252

CCDC30              0.799554

CCDC85A             0.879643

VWDE                0

CGA                 0

FBXW12              0

NBPF10              0.11631

OLFM3               0.463663

XIRP2               2.44969

KIAA1462            2.25975

PRKG2               10.8659

WDR83OS             153.972

LDHC                1.9596

MIR1244-1           0

UROC1               0.133618

APLF                0.416873

TNIP3               0.202388

FMO1                0.115286

ILDR1               1.72465

OR10Z1              0

SALL1               0.254083

NRG1                0.32285

SLC36A3             0

TCEB3C              0

GTF2H2              0.298167

CHI3L2              0.482406

PREX1               3.61431

STOML3              0

MS4A3               0

LRRC3B              0.0497526

GGH                 3.97517

IFNA2               0

CLOCK               2.81322

ATF7IP2             2.71891

MIR3911             249.634

ZMAT3               1.89596

GRXCR2              0

MIR4699             0

MIR4429             0

NFKB2               10.6768

MSGN1               0

MOGS                53.29

CPB2                0

GPM6A               1.43407

MIR302A             0

RBBP9               6.59391

IL4R                22.0319

DMP1                0

MIR1296             0

C3orf79             0

CD36                28.2053

TMPRSS11GP          0

PARP15              0.236141

C6orf226            25.328

PPTC7               8.61628

SNAR-D              0

AKAP10              7.04441

TSSK4               0.340582

GNG3                2.96948

LRRC37A2            0.506839

CPA2                21.1022

MAST4               2.36182

ANP32C              7.93692

MUC7                0

TUSC3               2.92818

ARHGEF33            0.109405

LIN28A              0

SULT1B1             50.9771

PROL1               0

CHL1                2.28048

SERPINB11           0

SPDYC               0.472363

LOC100129345        0

MKRN2               14.575

NEDD4L              20.2187

WDR83               9.74753

TDRD1               0.0256486

DEFB132             0.0192748

ANKRD6              0.472085

PLA2G2E             0

PDE7B               0.732018

GPR87               0.0281571

ADNP2               8.19177

SPP1                3.72209

SLC9A8              4.75915

PYCR2               30.3494

VWCE                1.2142

HIF1A               23.0848

RBMS3               1.97193

MIR1298             0

KC6                 0

NUBPL               3.43952

NAPB                5.50609

MGAT4C              0.0854405

CRB2                0.0823036

CYP4A11             1.34096

FBXL3               24.8673

MIR1244-2           0

MAP2K6              4.08561

CORO2B              1.49743

LIN9                2.7155

CFHR2               0

TUBA1C              269.487

HERC4               23.1938

BIN2                2.34539

SEMA3A              0.749384

LOC283038           0.106981

HHLA1               0

WDYHV1              5.02779

MIR302C             0



NBN                 9.12162

LOC100130093        0.855823

FAM180A             0.557868

OR5M9               0

MAN2B1              19.7763

CCDC88A             1.03281

PDE4B               3.1504

SFN                 107.466

LAMP1               59.1468

GRK5                27.8286

