Gene     RPKM           
KRT6B               0.0177642

MIR4737             0

GPR56               10.3829

CLCC1               5.41382

SRGAP2              2.8995

LOC100130298        0.615776

GPR39               5.23704

PLA2G6              10.4179

MIR320D1            0

LOC100130964        0

MIR302B             0

WNT5B               1.75656

KLRC1               0.446515

DLC1                4.68477

MCHR1               0.199559

SCN7A               0.959234

CLYBL               3.38969

ITLN1               58.8995

GPR89A              6.67965

TAS2R46             0

CLCA3P              0

PTPRQ               0

HVCN1               1.84965

SEC22B              59.6203

HIST1H3C            2.40626

MIR4480             0

KIAA1671            8.61048

SCARNA21            0

MIR1278             0

MIR2113             0

LRRC3B              0.0497526

GTSF1               0.743445

HIST1H3G            2.91241

URI1                20.554

HEXIM2              8.33336

FSHR                0

OTOGL               0.00466713

MIR553              0

MIR1244-1           0

CD19                0.316392

HAUS6               2.40381

VWA2                0.64538

UROC1               0.133618

MYL10               0

CERS5               9.64372

OR10G2              0

RAB23               2.79125

MIR3942             0

FER                 0.817748

FTH1                2704.54

MIR548I4            0

FAM178A             4.16492

LOC100505912        0

MAP2                0.662622

CLLU1               0.139032

SNAPC1              1.97785

PLSCR2              0.0367147

AKAP5               0.384046

MAP2K6              4.08561

NR2C1               4.06242

C6orf211            20.7585

MIR563              0

ATF7IP2             2.71891

AKAP10              7.04441

SDC4P               0

PROL1               0

RPL23P8             8.44376

BAMBI               0.683655

CSPP1               6.14752

FAM26D              0

SYT16               0.0125666

NLRP7               0.0248826

CRB2                0.0823036

ANKRD32             4.49019

NAV2                2.55813

FAM101B             7.08689

ZNF624              0.732184

HTR7                0.18151

TSC22D3             172.305

CSMD3               0.0361031

FMO6P               0.232565

PROM1               2.15252

MMP13               0

SNAR-B1             0

C8B                 0

RNF217              0.763853

LPAR6               6.44957

PPP1R9A             0.965844

SERPINB11           0

PTP4A2              87.0524

FMO9P               0

IFNA2               0

NAPB                5.50609

HIF1A               23.0848

MIR4735             0

ACADSB              16.4981

TSSK4               0.340582

MIR135A2            0

NIPSNAP3B           0.0955566

PLK2                7.29885

C2orf88             40.1808

MIR548AC            0

NUBPL               3.43952

MIR181A2            0

C8orf46             0.158178

AURKC               2.09477

CCDC129             0.0538536

CDKN3               12.9038

MIR605              0

LINC00327           0.0196145

SLC24A1             1.66762

OR6C76              0

ZBTB24              4.11987

SRSF4               66.5216

TMEM184C            8.72806

MIR302C             0

IKZF5               5.32078

CPXCR1              0

ANTXR1              4.60559

DEFB105A            0

MIR4256             0

ETS1                13.5072

CDX2                99.6803

VWDE                0

AMIGO2              3.14946

DEFB105B            0

TTC3                16.6762

TANK                33.3007

DEFB107B            0

FGGY                6.12491

SLIT2-IT1           0

SLC44A1             27.427

CDCA7L              5.76006

POGZ                12.7644

CCDC83              0.191313

MIR4796             0

SORT1               11.5116

GNRHR               0.0200489

MIR551B             0

MKRN2               14.575

