Gene	Sample	RPKM
MIR3675	ESC	0
MIR3675	ESC	0
PADI4	ESC	0.0461388
LIN28A	ESC	454.919
SFN	ESC	1.03894
TMEM222	ESC	8.27823
TMEM222	ESC	8.27823
TMEM222	ESC	8.27823
TMEM222	ESC	8.27823
MIR30E	ESC	0
CCDC30	ESC	0.186475
FAM183A	ESC	1.78253
UQCRH	ESC	304.997
UQCRH	ESC	304.997
UQCRH	ESC	304.997
CYP4A22	ESC	0.0107011
CMPK1	ESC	28.3597
CMPK1	ESC	28.3597
CMPK1	ESC	28.3597
CMPK1	ESC	28.3597
OSBPL9	ESC	38.2516
OSBPL9	ESC	38.2516
OSBPL9	ESC	38.2516
FGGY	ESC	4.41631
ANGPTL3	ESC	0.106295
DLEU2L	ESC	0.51915
PDE4B	ESC	6.57506
CLCA3P	ESC	0.0215346
DR1	ESC	32.7673
MIR553	ESC	192.127
AHCYL1	ESC	66.2073
CHI3L2	ESC	0.0261931
CHI3L2	ESC	0.0261931
CHI3L2	ESC	0.0261931
TSHB	ESC	0.0529972
MAN1A2	ESC	8.04203
SEC22B	ESC	31.1916
NBPF10	ESC	0.0996542
NBPF10	ESC	0.0996542
TXNIP	ESC	12.8317
PPIAL4B	ESC	0
LMNA	ESC	3.82201
OR10Z1	ESC	0
OR6K6	ESC	0.0189207
FMO9P	ESC	0
DUSP27	ESC	0.180214
MPZL1	ESC	36.6323
MPZL1	ESC	36.6323
MPZL1	ESC	36.6323
FMO6P	ESC	0
FMO1	ESC	0.0937006
FMO1	ESC	0.0937006
FMO1	ESC	0.0937006
TOP1P1	ESC	9.88925
RASAL2	ESC	9.13925
RGS21	ESC	0
MIR1278	ESC	0
CFHR3	ESC	0.692024
CFHR3	ESC	0.692024
CFHR2	ESC	0
SRGAP2	ESC	11.0847
SRGAP2	ESC	11.0847
SRGAP2	ESC	11.0847
MIR205HG	ESC	9.60822
LOC100130093	ESC	0.455129
LOC100130093	ESC	0.455129
EDARADD	ESC	79.1415
LGALS8	ESC	3.31832
NBPF1	ESC	1.95903
MIR3675	ESC	0
PLA2G2E	ESC	0
EIF4G3	ESC	42.4853
SRSF4	ESC	63.5032
SNORD103A	ESC	0
SNORD103A	ESC	0
PTP4A2	ESC	78.0575
PTP4A2	ESC	78.0575
CITED4	ESC	1.62799
SCMH1	ESC	10.4356
SCMH1	ESC	10.4356
SCMH1	ESC	10.4356
SLC2A1	ESC	49.4172
CYP4A11	ESC	0
C8B	ESC	0.0080606
C8B	ESC	0.0080606
C8B	ESC	0.0080606
DIRAS3	ESC	0.0574049
ASB17	ESC	0.0235639
ASB17	ESC	0.0235639
EVI5	ESC	2.83123
LOC100131564	ESC	3.05749
OLFM3	ESC	0.217289
OLFM3	ESC	0.217289
VAV3	ESC	6.13257
CLCC1	ESC	9.33697
CLCC1	ESC	9.33697
SORT1	ESC	20.6349
MIR4256	ESC	0
PPIAL4B	ESC	0
LOC653513	ESC	0.0772257
GPR89A	ESC	1.07054
GPR89A	ESC	1.07054
GPR89A	ESC	1.07054
PPIAL4B	ESC	0
POGZ	ESC	33.4824
TPM3	ESC	109.632
MEX3A	ESC	20.1237
OR10X1	ESC	0
SPTA1	ESC	0.00200519
OR6K3	ESC	0
ITLN1	ESC	0
KIAA0040	ESC	5.92412
KIAA0040	ESC	5.92412
KIAA0040	ESC	5.92412
KIAA0040	ESC	5.92412
ABL2	ESC	5.51368
ABL2	ESC	5.51368
ABL2	ESC	5.51368
MIR4735	ESC	0
ATP6V1G3	ESC	0
ATP6V1G3	ESC	0
MIR181B1	ESC	0
MIR181A1	ESC	0
SLC41A1	ESC	12.0138
PYCR2	ESC	33.1454
PYCR2	ESC	33.1454
LIN9	ESC	9.19152
LIN9	ESC	9.19152
LIN9	ESC	9.19152
HIST3H3	ESC	0.12811
ERO1LB	ESC	2.73262
ADSS	ESC	70.734
GATA3	ESC	0.0140308
GATA3	ESC	0.0140308
MIR4480	ESC	0
BAMBI	ESC	11.9899
MIR605	ESC	0
DKK1	ESC	0.204255
HNRNPH3	ESC	206.847
HNRNPH3	ESC	206.847
SNORD98	ESC	0
KIAA1279	ESC	28.9501
HKDC1	ESC	0.0774663
IFIT2	ESC	0.187331
CCNJ	ESC	26.9401
CCNJ	ESC	26.9401
CCNJ	ESC	26.9401
FAM178A	ESC	9.80737
FAM178A	ESC	9.80737
FAM178A	ESC	9.80737
NFKB2	ESC	9.13267
NFKB2	ESC	9.13267
NFKB2	ESC	9.13267
NFKB2	ESC	9.13267
MIR4295	ESC	0
CASP7	ESC	3.0524
TDRD1	ESC	0.0428623
VWA2	ESC	0.444364
GRK5	ESC	1.18713
LOC399815	ESC	0
ACADSB	ESC	9.15176
FAM175B	ESC	11.977
LOC283038	ESC	0.0131248
KIAA1462	ESC	1.11113
ITGB1	ESC	102.296
ITGB1	ESC	102.296
MIR1296	ESC	0
HERC4	ESC	14.9677
HERC4	ESC	14.9677
HERC4	ESC	14.9677
HERC4	ESC	14.9677
HERC4	ESC	14.9677
PBLD	ESC	1.27803
PBLD	ESC	1.27803
HTR7	ESC	10.9622
HTR7	ESC	10.9622
HTR7	ESC	10.9622
IKZF5	ESC	9.1692
IKZF5	ESC	9.1692
IKZF5	ESC	9.1692
IKZF5	ESC	9.1692
IKZF5	ESC	9.1692
IKZF5	ESC	9.1692
NKX1-2	ESC	0.437122
OR51F2	ESC	0
OR52D1	ESC	0
OR56B1	ESC	0.0723998
OR10A5	ESC	0
IPO7	ESC	74.8328
NUCB2	ESC	18.8795
LDHC	ESC	1.68364
LDHC	ESC	1.68364
NAV2	ESC	17.4545
EIF3M	ESC	279.441
OR5T3	ESC	0
MS4A3	ESC	0.0128127
MS4A3	ESC	0.0128127
MS4A3	ESC	0.0128127
MS4A2	ESC	0
MS4A2	ESC	0
GNG3	ESC	9.28879
SPDYC	ESC	0.0347216
SCYL1	ESC	8.09142
SCYL1	ESC	8.09142
MRPL48	ESC	25.5303
TMEM126A	ESC	52.3597
TMEM126A	ESC	52.3597
CCDC83	ESC	0
CCDC83	ESC	0
MIR4693	ESC	0
MIR4491	ESC	0
MIR34B	ESC	0
MIR34C	ESC	0
C11orf88	ESC	0
C11orf88	ESC	0
ST3GAL4	ESC	7.14758
ST3GAL4	ESC	7.14758
OR51S1	ESC	0
MRPL17	ESC	14.0007
OR2D2	ESC	0.0368656
OR5P2	ESC	0.0259102
PTH	ESC	0
UEVLD	ESC	5.5639
UEVLD	ESC	5.5639
UEVLD	ESC	5.5639
UEVLD	ESC	5.5639
UEVLD	ESC	5.5639
UEVLD	ESC	5.5639
UEVLD	ESC	5.5639
BDNF	ESC	1.84708
BDNF	ESC	1.84708
BDNF	ESC	1.84708
BDNF	ESC	1.84708
BDNF	ESC	1.84708
BDNF	ESC	1.84708
BDNF	ESC	1.84708
BDNF	ESC	1.84708
BDNF	ESC	1.84708
BDNF	ESC	1.84708
OR5M9	ESC	0
APLNR	ESC	0.160035
APLNR	ESC	0.160035
OR5B3	ESC	0
OR5B21	ESC	0
OR5A2	ESC	0
VWCE	ESC	2.4341
FTH1	ESC	241.997
CHKA	ESC	40.3908
CHKA	ESC	40.3908
STARD10	ESC	3.64077
CCDC90B	ESC	36.3661
CCDC90B	ESC	36.3661
CCDC90B	ESC	36.3661
CCDC90B	ESC	36.3661
CCDC90B	ESC	36.3661
CCDC90B	ESC	36.3661
NOX4	ESC	0.477901
MMP13	ESC	0
CASP12	ESC	0
CASP12	ESC	0
CASP12	ESC	0
CASP12	ESC	0
CASP12	ESC	0
CASP12	ESC	0
CASP12	ESC	0
CASP12	ESC	0
CASP12	ESC	0
CASP12	ESC	0
BTG4	ESC	0.0987599
ETS1	ESC	24.1484
ETS1	ESC	24.1484
WNT5B	ESC	0.395399
SCARNA10	ESC	2.15891
CD4	ESC	3.78686
CD4	ESC	3.78686
CD4	ESC	3.78686
CD4	ESC	3.78686
CD4	ESC	3.78686
PEX5	ESC	17.2516
PEX5	ESC	17.2516
PEX5	ESC	17.2516
PEX5	ESC	17.2516
PEX5	ESC	17.2516
PEX5	ESC	17.2516
CLEC9A	ESC	0.0103583
MIR1244-2	ESC	0
MIR1244-2	ESC	0
SKP1P2	ESC	9.65547
PIK3C2G	ESC	0.00564847
PIK3C2G	ESC	0.00564847
PIK3C2G	ESC	0.00564847
PDE3A	ESC	3.45614
CMAS	ESC	58.1083
RASSF8	ESC	17.0342
FAR2	ESC	18.476
FAR2	ESC	18.476
CNTN1	ESC	8.63564
TUBA1C	ESC	179.055
OR6C65	ESC	0
OR6C76	ESC	0
SLC16A7	ESC	0.668994
SLC16A7	ESC	0.668994
SLC16A7	ESC	0.668994
HMGA2	ESC	88.7043
HMGA2	ESC	88.7043
HMGA2	ESC	88.7043
HMGA2	ESC	88.7043
SLC35E3	ESC	7.34855
YEATS4	ESC	54.8057
YEATS4	ESC	54.8057
OTOGL	ESC	0.102647
PTPRQ	ESC	0.00966191
MIR4699	ESC	0
CLLU1	ESC	0.0151362
CLLU1	ESC	0.0151362
CLLU1	ESC	0.0151362
MIR331	ESC	0
ELK3	ESC	4.18205
MIR135A2	ESC	0
USP30	ESC	2.99403
PEBP1	ESC	299.711
LOC100128554	ESC	0.00817383
LOC100128554	ESC	0.00817383
A2MP1	ESC	0.102616
MIR1244-1	ESC	0
MIR1244-1	ESC	0
KLRC3	ESC	0
KLRC3	ESC	0
KLRC2	ESC	0
KLRC1	ESC	0
KLRC1	ESC	0
TAS2R14	ESC	2.30841
TAS2R46	ESC	0.0750247
TAS2R30	ESC	0.0876123
GYS2	ESC	0.0408823
SOX5	ESC	0.285109
IPO8	ESC	27.1702
PKP2	ESC	12.2718
PKP2	ESC	12.2718
AMIGO2	ESC	2.81014
AMIGO2	ESC	2.81014
LALBA	ESC	0
FAM186B	ESC	0.250717
FAM186B	ESC	0.250717
FMNL3	ESC	4.78135
FMNL3	ESC	4.78135
RACGAP1	ESC	25.7869
RACGAP1	ESC	25.7869
RACGAP1	ESC	25.7869
CERS5	ESC	46.5012
CERS5	ESC	46.5012
CERS5	ESC	46.5012
SLC11A2	ESC	29.3571
BIN2	ESC	0.0162947
BIN2	ESC	0.0162947
BIN2	ESC	0.0162947
BIN2	ESC	0.0162947
KRT6B	ESC	0
GTSF1	ESC	0.247707
AVIL	ESC	0.362379
MIR26A2	ESC	0
RPSAP52	ESC	0.175329
MGAT4C	ESC	2.52152
ATP2B1	ESC	15.7305
ATP2B1	ESC	15.7305
CLLU1OS	ESC	0
NR2C1	ESC	18.5056
NR2C1	ESC	18.5056
NR2C1	ESC	18.5056
USP44	ESC	108.752
USP44	ESC	108.752
GLT8D2	ESC	4.28836
SELPLG	ESC	0.0150277
PPTC7	ESC	11.3287
HVCN1	ESC	4.51789
HVCN1	ESC	4.51789
VSIG10	ESC	21.9829
HPD	ESC	0.0398745
HCAR1	ESC	0.0357639
LINC00327	ESC	0.174232
ATP12A	ESC	0.767928
ATP12A	ESC	0.767928
NAA16	ESC	18.2669
NAA16	ESC	18.2669
NAA16	ESC	18.2669
DNAJC15	ESC	5.40782
WDFY2	ESC	13.6613
SCEL	ESC	0.0122451
SCEL	ESC	0.0122451
SCEL	ESC	0.0122451
CLYBL	ESC	3.09889
CLYBL	ESC	3.09889
TPP2	ESC	44.7503
LINC00460	ESC	0
LAMP1	ESC	80.1352
BASP1P1	ESC	0
CDX2	ESC	0.0737924
SPG20	ESC	21.2939
CSNK1A1L	ESC	6.37575
POSTN	ESC	0.451567
POSTN	ESC	0.451567
POSTN	ESC	0.451567
POSTN	ESC	0.451567
POSTN	ESC	0.451567
POSTN	ESC	0.451567
POSTN	ESC	0.451567
STOML3	ESC	0.0680858
STOML3	ESC	0.0680858
MIR320D1	ESC	0
CPB2	ESC	0.0260127
CPB2	ESC	0.0260127
LPAR6	ESC	0.908214
CAB39L	ESC	3.70897
CAB39L	ESC	3.70897
FBXL3	ESC	7.55937
EDNRB	ESC	7.80098
EDNRB	ESC	7.80098
REM2	ESC	0.70017
TSSK4	ESC	2.33583
TSSK4	ESC	2.33583
NUBPL	ESC	7.8658
AKAP6	ESC	0.119841
CDKN3	ESC	44.3547
CDKN3	ESC	44.3547
HIF1A	ESC	132.507
HIF1A	ESC	132.507
SNAPC1	ESC	10.1199
SYT16	ESC	0.667871
AKAP5	ESC	1.89454
ARG2	ESC	67.3724
TTC9	ESC	18.1654
SIPA1L1	ESC	23.2713
SIPA1L1	ESC	23.2713
JDP2	ESC	2.76242
TCL6	ESC	0.00638787
RNASE9	ESC	0.0495879
RNASE9	ESC	0.0495879
RNASE9	ESC	0.0495879
RNASE9	ESC	0.0495879
RNASE9	ESC	0.0495879
RNASE9	ESC	0.0495879
RNASE9	ESC	0.0495879
RNASE9	ESC	0.0495879
OR6S1	ESC	0
SALL2	ESC	96.9929
SALL2	ESC	96.9929
SALL2	ESC	96.9929
OR10G2	ESC	0
DAD1	ESC	117.579
PRMT5	ESC	68.2469
PRMT5	ESC	68.2469
PRMT5	ESC	68.2469
PRMT5	ESC	68.2469
PRMT5	ESC	68.2469
PRMT5	ESC	68.2469
MIS18BP1	ESC	35.4151
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
ATXN3	ESC	6.19735
SERPINA12	ESC	0.055667
LOC100129345	ESC	0
MIR4509-1	ESC	0
SCG5	ESC	32.1777
SCG5	ESC	32.1777
CHRM5	ESC	0.0201144
BAHD1	ESC	10.3095
BAHD1	ESC	10.3095
DTWD1	ESC	15.1603
DTWD1	ESC	15.1603
TCF12	ESC	41.1583
SLC24A1	ESC	1.65535
SLC24A1	ESC	1.65535
SMAD3	ESC	4.39542
CORO2B	ESC	2.31329
ZFAND6	ESC	108.458
MIR4509-3	ESC	0
LOC283683	ESC	0.455855
MIR4509-1	ESC	0
TRPM1	ESC	0.104731
GOLGA8A	ESC	6.75018
MIR1233-2	ESC	0
MIR1233-1	ESC	0
MIR3942	ESC	14.2033
NEDD4	ESC	5.69785
NEDD4	ESC	5.69785
NEDD4	ESC	5.69785
NEDD4	ESC	5.69785
NEDD4	ESC	5.69785
ZNF280D	ESC	0.385746
ZNF280D	ESC	0.385746
ZNF280D	ESC	0.385746
ZNF280D	ESC	0.385746
ZNF280D	ESC	0.385746
HSP90AB4P	ESC	0.0920534
CT62	ESC	0.098178
COX5A	ESC	254.295
NRG4	ESC	2.39439
KIF7	ESC	2.6271
PRC1	ESC	35.9836
PRC1	ESC	35.9836
PRC1	ESC	35.9836
RBFOX1	ESC	0.735776
RBFOX1	ESC	0.735776
RBFOX1	ESC	0.735776
ATF7IP2	ESC	10.7889
ATF7IP2	ESC	10.7889
ATF7IP2	ESC	10.7889
CCP110	ESC	8.90779
CCP110	ESC	8.90779
IL4R	ESC	7.89341
IL4R	ESC	7.89341
IL4R	ESC	7.89341
IL4R	ESC	7.89341
CD19	ESC	0.0470686
CD19	ESC	0.0470686
LPCAT2	ESC	1.80656
GPR56	ESC	0.255034
GPR56	ESC	0.255034
GPR56	ESC	0.255034
GPR56	ESC	0.255034
GPR56	ESC	0.255034
GPR56	ESC	0.255034
GPR56	ESC	0.255034
MIR1972-2	ESC	0
GDE1	ESC	30.8107
SALL1	ESC	22.7959
SALL1	ESC	22.7959
SNORD71	ESC	0
LDHD	ESC	0.997845
LDHD	ESC	0.997845
ADAMTS18	ESC	0.0469219
KCNG4	ESC	0
LOC339166	ESC	0.105359
KDM6B	ESC	0.950089
SCARNA21	ESC	0
MYO15A	ESC	0.0796376
CDRT15L2	ESC	0
DUSP14	ESC	17.0709
LOC100131347	ESC	0.222707
HEXIM2	ESC	1.37669
HEXIM2	ESC	1.37669
HEXIM2	ESC	1.37669
HEXIM2	ESC	1.37669
HEXIM2	ESC	1.37669
LRRC37A2	ESC	0.623564
MAP2K6	ESC	20.1963
FAM101B	ESC	16.4065
NCOR1	ESC	23.1705
NCOR1	ESC	23.1705
ZNF624	ESC	1.71623
AKAP10	ESC	12.9382
SGK494	ESC	6.16051
HAP1	ESC	0.817451
HAP1	ESC	0.817451
HAP1	ESC	0.817451
AARSD1	ESC	21.8954
GPATCH8	ESC	18.9672
TMEM100	ESC	0.6033
RNF43	ESC	0.346418
MIR4737	ESC	0
SCARNA20	ESC	0
FDXR	ESC	4.38608
FDXR	ESC	4.38608
FDXR	ESC	4.38608
FDXR	ESC	4.38608
FDXR	ESC	4.38608
FDXR	ESC	4.38608
FDXR	ESC	4.38608
ARHGAP28	ESC	9.99005
MIR320C2	ESC	0
DSG1	ESC	0.0526045
DSG4	ESC	0.00463467
DSG4	ESC	0.00463467
MIR4318	ESC	0
NEDD4L	ESC	15.4785
NEDD4L	ESC	15.4785
NEDD4L	ESC	15.4785
NEDD4L	ESC	15.4785
SERPINB11	ESC	0
SERPINB11	ESC	0
SERPINB11	ESC	0
ADNP2	ESC	28.292
CDH2	ESC	26.5677
KC6	ESC	2.22719
TCEB3C	ESC	0
TCEB3C	ESC	0
TCEB3C	ESC	0
TCEB3C	ESC	0
IER3IP1	ESC	28.5723
SMAD2	ESC	11.629
SMAD2	ESC	11.629
SMAD2	ESC	11.629
LOC400655	ESC	0
CAPS	ESC	0.168888
CAPS	ESC	0.168888
OR7D2	ESC	0.369051
WDR83	ESC	2.45566
WDR83	ESC	2.45566
WDR83	ESC	2.45566
CCDC130	ESC	3.77903
TECR	ESC	25.8587
TECR	ESC	25.8587
TECR	ESC	25.8587
RAB8A	ESC	32.3424
URI1	ESC	38.9834
URI1	ESC	38.9834
UBA2	ESC	105.55
GRAMD1A	ESC	21.5443
GRAMD1A	ESC	21.5443
HAMP	ESC	0
HKR1	ESC	14.1306
PVR	ESC	5.23139
PVR	ESC	5.23139
PVR	ESC	5.23139
PVR	ESC	5.23139
SNAR-A7	ESC	0
SNAR-A7	ESC	0
SNAR-A7	ESC	0
SNAR-A7	ESC	0
DPRX	ESC	0.0352841
AURKC	ESC	2.67563
AURKC	ESC	2.67563
AURKC	ESC	2.67563
ACTL9	ESC	0
MAN2B1	ESC	13.1536
MAN2B1	ESC	13.1536
WDR83OS	ESC	50.0542
USHBP1	ESC	1.37201
USHBP1	ESC	1.37201
TMEM160	ESC	0.539429
SNAR-A8	ESC	0
SNAR-A8	ESC	0
SNAR-A8	ESC	0
SNAR-A8	ESC	0
SNAR-A4	ESC	0
SNAR-A4	ESC	0
SNAR-A4	ESC	0
SNAR-A4	ESC	0
SNAR-A10	ESC	0
SNAR-A10	ESC	0
SNAR-A10	ESC	0
SNAR-A10	ESC	0
SNAR-A7	ESC	0
SNAR-A7	ESC	0
SNAR-A7	ESC	0
SNAR-A7	ESC	0
SNAR-A14	ESC	0
SNAR-A14	ESC	0
SNAR-A14	ESC	0
SNAR-A14	ESC	0
SNAR-A3	ESC	0
SNAR-A3	ESC	0
SNAR-A3	ESC	0
SNAR-A3	ESC	0
SNAR-A6	ESC	0
SNAR-A6	ESC	0
SNAR-A6	ESC	0
SNAR-A6	ESC	0
SNAR-A10	ESC	0
SNAR-A10	ESC	0
SNAR-A10	ESC	0
SNAR-A10	ESC	0
SNAR-A8	ESC	0
SNAR-A8	ESC	0
SNAR-A8	ESC	0
SNAR-A8	ESC	0
SNAR-B1	ESC	0
SNAR-B1	ESC	0
SNAR-B2	ESC	0
SNAR-B2	ESC	0
SNAR-D	ESC	0
NLRP7	ESC	0.603867
NLRP7	ESC	0.603867
NLRP7	ESC	0.603867
COLEC11	ESC	0.118132
COLEC11	ESC	0.118132
COLEC11	ESC	0.118132
COLEC11	ESC	0.118132
COLEC11	ESC	0.118132
COLEC11	ESC	0.118132
LOC100506274	ESC	0.322101
GREB1	ESC	5.97948
GREB1	ESC	5.97948
GREB1	ESC	5.97948
MSGN1	ESC	0
LINC00486	ESC	0
LINC00486	ESC	0
VIT	ESC	0.0624728
VIT	ESC	0.0624728
VIT	ESC	0.0624728
VIT	ESC	0.0624728
VIT	ESC	0.0624728
ARHGEF33	ESC	0.270704
CCDC85A	ESC	0.4406
EHBP1	ESC	20.99
ACTR2	ESC	107.203
ACTR2	ESC	107.203
APLF	ESC	3.31956
ANTXR1	ESC	23.7655
ANTXR1	ESC	23.7655
ANTXR1	ESC	23.7655
GCC2	ESC	15.1216
GCC2	ESC	15.1216
GPR39	ESC	0.48615
R3HDM1	ESC	25.5215
R3HDM1	ESC	25.5215
ARHGAP15	ESC	0.0968966
KIF5C	ESC	31.5845
TANK	ESC	18.36
TANK	ESC	18.36
CSRNP3	ESC	1.36685
XIRP2	ESC	0.0805723
XIRP2	ESC	0.0805723
MYO3B	ESC	0.0834597
MYO3B	ESC	0.0834597
MYO3B	ESC	0.0834597
