Gene	Sample	RPKM

TAS2R14	ESC	2.30841

GPR39	Adult-SI	5.23704

ACADSB	Fetal-SI	6.40976

CHL1	Fetal-SI	5.6547

TXNIP	Adult-SI	210.543

TANK	Fetal-SI	19.5608

ARHGAP28	Adult-SI	1.39349

SLC2A1	Adult-SI	3.07648

C6orf211	ESC	66.0622

TPP2	D4CF	40.2869

MIR125B2	D4CF	0

PECR	Endo	4.22433

MCHR1	D4CF	0.921812

LOC550113	ESC	0.0172604

HAMP	Fetal-SI	0.0862267

COLEC11	ESC	0.118132

MIR181A1	D4CF	0

MIR491	ESC	0

OR6S1	Fetal-SI	0

MIR30D	Fetal-SI	0

SMAD3	Endo	2.94777

GLT8D2	D4CF	6.75554

SNX30	ESC	6.21463

CGA	Adult-SI	0

SERF1A	Fetal-SI	0.0915516

DOCK11	Fetal-SI	1.76795

MIR320D1	Fetal-SI	0

LOC653513	Adult-SI	0.733733

MIR302B	Endo	0

MIR577	ESC	0

OR7D2	ESC	0.369051

WDR83OS	D4CF	51.2592

NBN	ESC	22.0817

HIST1H3C	Endo	0

SEC22B	Endo	40.9766

VSIG10	Endo	12.0617

SLC26A7	D4CF	0.0180451

GYS2	D4CF	0

MIR320D1	D4CF	0

LDHD	D4CF	0.00949153

RASAL2	ESC	9.13925

HCAR1	Fetal-SI	0.169517

ZCCHC4	Adult-SI	3.58218

TAB2	Adult-SI	23.8169

PIGX	ESC	6.22313

MIR2113	Endo	0

SERPINA12	Fetal-SI	0.0122278

LDHC	Adult-SI	1.9596

C9orf170	ESC	0.0697126

PPIP5K2	Endo	18.7206

MIR567	Fetal-SI	0

LOC100128554	Adult-SI	0

LPHN3	Adult-SI	0.516945

MIR1972-2	ESC	0

HIST1H2BI	ESC	0.13447

MIR491	Endo	0

ASB17	D4CF	0.020308

LOC339166	D4CF	0

PPP1R3D	Endo	3.45918

RAB23	Endo	13.366

OR5B3	D4CF	0

TSSK4	Endo	2.6481

CGA	ESC	0

ACTR2	Fetal-SI	69.0988

LOC100130298	Adult-SI	0.615776

IBSP	Fetal-SI	0

PPTC7	D4CF	10.9446

DEFB132	Adult-SI	0.0192748

FAM110B	ESC	1.47855

ADSS	Endo	28.0312

LCN9	Fetal-SI	0

NBPF10	Adult-SI	0.11631

MS4A3	Adult-SI	0

PPP1R9A	Adult-SI	0.965844

C8orf46	Endo	0.118844

MIR551B	D4CF	0

TDP2	D4CF	45.4058

SERF1A	D4CF	0.483115

C2orf66	ESC	0.0742977

RACGAP1	Fetal-SI	8.68999

CCDC88A	Adult-SI	1.03281

SGK494	Fetal-SI	2.46267

DCAF17	D4CF	11.1777

MARS2	ESC	14.4025

HTR7	Fetal-SI	0.543496

LOC100506274	Adult-SI	0

CPA2	Adult-SI	21.1022

ZNF474	Adult-SI	0.0210781

NEDD4L	Fetal-SI	24.7499

IQUB	Adult-SI	0.165911

HSDL2	Fetal-SI	22.5736

DDX43	Endo	0

ESCO2	D4CF	11.3554

MIR125B2	Fetal-SI	0

P2RY12	Fetal-SI	1.26501

MIR1244-1	Endo	0

CT62	Endo	0

MIR449B	Adult-SI	0

HKR1	Adult-SI	8.95447

MYL10	ESC	0.0743519

KCTD6	D4CF	18.6223

SNORD71	D4CF	0

KIAA1279	Endo	36.9441

AIFM1	Endo	28.4716

CSRNP3	Adult-SI	0.363376

TIAM1	Adult-SI	0.794302

AGTR2	ESC	0

MIR4773-2	D4CF	0

TJAP1	Adult-SI	24.7806

AKAP6	Fetal-SI	2.9579

ANKRD28	Fetal-SI	9.27921

OR2A1	D4CF	0

TPI1P3	ESC	0.0775564

MIR491	Fetal-SI	0

RPL23P8	Endo	106.594

AGPAT1	D4CF	0

LOC100130964	Adult-SI	0

DDX43	D4CF	0

MIR1296	Fetal-SI	69.2171

FAM91A1	Fetal-SI	12.961

SNAR-A6	D4CF	0

MS4A2	D4CF	0

PREX1	ESC	3.24578

SALL2	Endo	35.5363

CDKL4	ESC	0.00986139

LOC339862	Endo	0.216472

PLAC4	Fetal-SI	0.107579

BAMBI	ESC	11.9899

LALBA	Adult-SI	0

SLC24A1	Endo	2.10119

LOC100132735	ESC	0

SYNPO2	Endo	0.0303191

CDCA7L	ESC	78.5793

LPHN3	Endo	12.294

MIR2054	Endo	0

DCDC2	Adult-SI	0.141871

MIR4480	D4CF	0

CCDC83	Endo	0.00974896

LIN9	ESC	9.19152

A2MP1	D4CF	0

MIR4318	D4CF	0

NR1I2	ESC	0.737177

TRAK1	Endo	11.1858

ZCCHC13	Endo	0

MIR302C	Fetal-SI	0

C9orf3	Endo	3.49869

GPR22	D4CF	0.0121396

MLIP	Fetal-SI	0.0391468

COX5A	Adult-SI	402.766

ACTL9	Adult-SI	0

BAMBI	Fetal-SI	27.9138

HLA-DRB6	Endo	0.105751

C2orf88	Fetal-SI	9.553

CDK14	Fetal-SI	4.44238

FAM91A1	Endo	12.7998

