# Argument List:
# Name = NA
# peak file = /data4/CistromeAP/galaxy_database/files/000/976/dataset_976271.dat
# distance = 30000 bp
#Chromsome	TSS	TTS	RefseqID	Score	Strand	GeneSymbol
chr7	114066556	114294198	NM_001172767	2.761	+	FOXP2
chr7	114066556	114294198	NM_148899	2.761	+	FOXP2
chr11	47487488	47516073	NM_198700	2.490	-	CELF1
chr3	173628288	173638586	NR_046664	2.475	-	NLGN1-AS1
chr4	69313166	69363322	NM_014058	2.368	+	TMPRSS11E
chr17	28000929	28088450	NM_001282131	2.343	-	SSH2
chr2	180306710	180450633	NM_001282725	2.332	-	ZNF385B
chr2	180306710	180450633	NR_104234	2.332	-	ZNF385B
chr8	92114846	92231464	NM_001129890	2.297	+	LRRC69
chr7	114055051	114333827	NM_014491	2.260	+	FOXP2
chr7	114055051	114333827	NM_148898	2.260	+	FOXP2
chr7	114055051	114333827	NR_033767	2.260	+	FOXP2
chr7	114055051	114333827	NM_001172766	2.260	+	FOXP2
chr7	114055051	114333827	NM_148900	2.260	+	FOXP2
chr6	133409218	133427717	NR_026969	2.248	+	LINC00326
chr9	73424890	73425000	NR_029621	2.238	-	MIR204
chr9	25780053	25812966	NR_121604	2.233	+	LINC01241
chr3	66119284	66429351	NM_173471	2.225	+	SLC25A26
chr10	114393928	114394013	NR_036177	2.188	+	MIR4295
chr5	78908242	78982471	NM_001114394	2.168	+	PAPD4
chr5	78908242	78982471	NM_173797	2.168	+	PAPD4
chr5	78908242	78982471	NM_001114393	2.168	+	PAPD4
chr5	78908242	78982471	NM_001297745	2.168	+	PAPD4
chr5	78908242	78982471	NM_001297744	2.168	+	PAPD4
chr12	81672967	81706201	NR_120491	2.144	+	LOC102724663
chr14	66953088	66965271	NR_110307	2.104	+	LINC00238
chr14	66953088	66965271	NR_110308	2.104	+	LINC00238
chr14	66953088	66965271	NR_024338	2.104	+	LINC00238
chr4	115577914	115578010	NR_030303	2.086	+	MIR577
chr3	113435306	113465120	NM_025146	2.076	-	NAA50
chr2	181845850	181928154	NM_001278554	2.053	+	UBE2E3
chr2	181845111	181928154	NM_001278555	2.047	+	UBE2E3
chr2	181845111	181928154	NM_182678	2.047	+	UBE2E3
chr2	181845307	181928154	NM_006357	2.047	+	UBE2E3
chr5	70370029	70388897	NR_026578	2.047	-	LOC647859
chr11	99426875	100229616	NM_175566	2.045	+	CNTN5
chr10	63422718	63526091	NM_173554	2.042	+	C10orf107
chr1	64560124	64577888	NR_110666	1.999	-	ROR1-AS1
chr3	113465865	113530905	NM_001690	1.991	+	ATP6V1A
chr2	213864410	214015058	NM_016260	1.958	-	IKZF2
chr4	68337988	68411256	NM_001812	1.916	-	CENPC
chr10	70042416	70092684	NM_022129	1.915	-	PBLD
chr10	70044837	70092684	NM_001033083	1.915	-	PBLD
chr4	153410478	153410568	NR_036092	1.914	-	MIR3140
chr6	96969701	97003151	NM_015323	1.914	+	UFL1
chr5	102455957	102539224	NM_001281471	1.903	+	PPIP5K2
chr5	102455957	102539224	NM_001276277	1.903	+	PPIP5K2
chr4	44680432	44702697	NM_021927	1.900	+	GUF1
chr9	108006893	108159628	NM_001286730	1.892	+	SLC44A1
chr9	108006893	108159628	NM_080546	1.892	+	SLC44A1
chr11	26580578	26593815	NM_001135092	1.884	-	MUC15
chr11	26580578	26593815	NM_001135091	1.884	-	MUC15
chr11	26580578	26593815	NM_145650	1.884	-	MUC15
chr13	86366921	86373483	NM_032229	1.878	-	SLITRK6
chr12	16701305	16761148	NR_045014	1.872	-	LMO3
chr12	16701305	16761148	NR_045013	1.872	-	LMO3
chr12	16701305	16761148	NR_045012	1.872	-	LMO3
chr12	16701305	16761148	NM_001243609	1.872	-	LMO3
chr12	16701305	16761148	NM_001001395	1.872	-	LMO3
chr2	155555092	155714864	NM_001260508	1.868	+	KCNJ3
chr2	155555092	155714864	NM_002239	1.868	+	KCNJ3
chr2	155555092	155556103	NM_001260510	1.868	+	KCNJ3
chr2	155555092	155566362	NM_001260509	1.868	+	KCNJ3
chr13	93879077	95060273	NM_005708	1.862	+	GPC6
chr1	75033794	75139422	NM_001002912	1.862	-	ERICH3
chr5	102421703	102455842	NM_017676	1.861	-	GIN1
chr12	10958649	10959579	NM_023918	1.860	-	TAS2R8
chr4	176711457	176733340	NR_125901	1.852	+	LOC101928590
chr2	69092612	69098649	NM_014482	1.847	-	BMP10
chr1	64571005	64579474	NR_110665	1.846	-	ROR1-AS1
chr2	213864410	214016333	NM_001079526	1.841	-	IKZF2
chr8	135812762	135812850	NR_029666	1.835	-	MIR30B
chr10	74127083	74283744	NM_001195519	1.823	-	MICU1
chr12	10954130	10955226	NM_023919	1.809	-	TAS2R7
chr17	53828339	53854748	NM_021213	1.807	+	PCTP
chr1	102268122	102312636	NM_001288821	1.805	-	OLFM3
chr1	102268122	102312636	NR_110212	1.805	-	OLFM3
chr18	32820993	32838397	NM_032347	1.801	+	ZNF397
chr18	32820993	32827153	NM_001135178	1.801	+	ZNF397
chr17	53828465	53854748	NM_001102402	1.799	+	PCTP
chr11	47487488	47510576	NM_001172640	1.793	-	CELF1
chr11	47487488	47510576	NM_001025596	1.793	-	CELF1
chr1	32372021	32385259	NM_001195100	1.792	-	PTP4A2
chr1	32372021	32385259	NM_001195101	1.792	-	PTP4A2
chr11	36613492	36619829	NM_001243785	1.784	-	RAG2
chr11	36613492	36619829	NM_000536	1.784	-	RAG2
chr11	36613492	36619829	NM_001243786	1.784	-	RAG2
chr6	122720695	122754264	NM_001135564	1.779	+	HSF2
chr6	122720695	122741555	NM_001243094	1.779	+	HSF2
chr6	122720695	122754264	NM_004506	1.779	+	HSF2
chr1	661138	665731	NR_028327	1.769	-	LOC100133331
chr9	86584662	86584772	NR_029605	1.767	-	MIR7-1
chr12	16701305	16760084	NM_001243613	1.756	-	LMO3
chr8	135817118	135817188	NR_029599	1.746	-	MIR30D
chr9	26066672	26118406	NM_001004352	1.745	+	LOC100506422
chr2	158175124	158182460	NM_001304346	1.744	-	ERMN
chr2	158175124	158182460	NM_020711	1.744	-	ERMN
chr5	102465009	102539224	NM_015216	1.736	+	PPIP5K2
chr6	134210258	134216675	NM_198392	1.730	+	TCF21
chr6	134210259	134213393	NM_003206	1.730	+	TCF21
chr12	16701305	16759734	NM_001243610	1.726	-	LMO3
chr12	10961692	10962767	NM_023917	1.723	-	TAS2R9
chr2	195208992	195284355	NR_110222	1.721	+	LOC101927406
chr11	18501857	18548503	NM_006292	1.720	-	TSG101
chr4	88529680	88538025	NM_014208	1.716	+	DSPP
chr2	158175124	158183821	NM_001304344	1.712	-	ERMN
chr2	158175124	158183821	NM_001304345	1.712	-	ERMN
chr12	16701305	16759536	NM_018640	1.711	-	LMO3
chr13	93353641	93373867	NR_046520	1.702	-	GPC5-AS1
chr2	175190754	175195370	NR_038897	1.700	+	LINC01305
chr10	70091767	70102953	NM_012207	1.694	+	HNRNPH3
chr10	70091767	70102953	NM_021644	1.694	+	HNRNPH3
chr3	33537738	33700933	NM_001207044	1.694	-	CLASP2
chr8	58890916	58896685	NR_130934	1.693	+	T1560
chr11	110300660	110335608	NM_004109	1.693	+	FDX1
chr7	121958477	122526813	NM_001167940	1.689	-	CADPS2
chr7	121958477	122526813	NM_017954	1.689	-	CADPS2
chr7	121958477	122526813	NM_001009571	1.689	-	CADPS2
chr4	79697531	79833341	NM_198892	1.685	+	BMP2K
chr4	79697531	79800594	NM_017593	1.685	+	BMP2K
chr8	105501458	105601252	NM_001135703	1.683	-	LRP12
chr8	105501458	105601252	NM_013437	1.683	-	LRP12
chr3	159974773	160101554	NM_001190242	1.677	-	IFT80
chr5	87688011	87732491	NR_105020	1.676	+	TMEM161B-AS1
chr2	177134122	177202753	NM_006554	1.674	+	MTX2
chr2	177134122	177202753	NR_027850	1.674	+	MTX2
chr7	7115400	7136417	NR_034022	1.673	-	LOC100131257
chr12	27849427	27850566	NM_001029874	1.671	+	REP15
chr12	16701305	16758904	NM_001243612	1.669	-	LMO3
chr8	76452202	76479061	NM_004133	1.669	+	HNF4G
chr11	60073143	60073172	NR_106758	1.667	-	MIR6503
chr5	102201526	102366808	NM_000919	1.660	+	PAM
