# Argument List:
# Name = NA
# peak file = /data4/CistromeAP/galaxy_database/files/000/917/dataset_917655.dat
# distance = 30000 bp
#Chromsome	TSS	TTS	RefseqID	Score	Strand	GeneSymbol
chr15	59279864	59389618	NM_001270528	0.600	+	RNF111
chr15	59279864	59389618	NM_001270529	0.600	+	RNF111
chr15	59279864	59389618	NM_017610	0.600	+	RNF111
chr13	52638899	52703214	NM_199289	0.587	-	NEK5
chr19	54191734	54191821	NR_031573	0.586	+	MIR1283-1
chr3	121902529	122005344	NM_000388	0.581	+	CASR
chr2	122513120	122525428	NM_004622	0.575	+	TSN
chr2	122513120	122525428	NR_048556	0.575	+	TSN
chr2	122513120	122525428	NR_048557	0.575	+	TSN
chr2	122513120	122525428	NR_048558	0.575	+	TSN
chr2	122513120	122525428	NR_048559	0.575	+	TSN
chr2	122513120	122525428	NM_001261401	0.575	+	TSN
chr15	59280344	59389618	NM_001270530	0.563	+	RNF111
chr11	55926869	55927793	NM_001004058	0.556	-	OR8K5
chr17	73717515	73753899	NM_000213	0.554	+	ITGB4
chr17	73717515	73753899	NM_001005731	0.554	+	ITGB4
chr3	121903180	122005344	NM_001178065	0.533	+	CASR
chr17	26553588	26555085	NR_003064	0.527	+	PYY2
chr18	61582744	61602476	NM_005024	0.526	+	SERPINB10
chr8	79578281	79631997	NM_016010	0.511	+	ZC2HC1A
chr11	18230831	18235111	NR_026563	0.510	+	LOC494141
chr11	89867817	89925779	NM_005467	0.505	+	NAALAD2
chr13	114523521	114567046	NM_000820	0.503	-	GAS6
chr11	12308446	12380691	NM_032867	0.503	+	MICALCL
chr11	18230684	18235111	NR_026564	0.500	+	LOC494141
chr11	18230684	18233055	NR_026541	0.500	+	LOC494141
chr13	114567149	114569805	NR_044993	0.497	+	LOC100506394
chr1	153507075	153508717	NM_014624	0.488	-	S100A6
chr2	174771186	174830430	NM_001172712	0.482	-	SP3
chr2	174771186	174830430	NM_003111	0.482	-	SP3
chr11	118842416	118851995	NM_181721	0.480	+	FOXR1
chr19	54189722	54189809	NR_030188	0.480	+	MIR519C
chr4	141294663	141303710	NM_001153552	0.478	+	SCOC
chr4	141294663	141303710	NM_001153484	0.478	+	SCOC
chr4	141294663	141303710	NM_001153663	0.478	+	SCOC
chr4	141204879	141294546	NR_033939	0.471	-	LOC100129858
chr4	71019903	71032326	NM_214711	0.448	+	C4orf40
chr16	30768743	30773565	NM_001014979	0.430	-	C16orf93
chr16	30771357	30773565	NM_001195620	0.430	-	C16orf93
chr17	34261522	34266560	NM_020426	0.429	-	LYZL6
chr19	54194134	54194219	NR_030189	0.425	+	MIR520A
chr1	99355800	99470449	NM_001037317	0.419	-	LPPR5
chr1	99355800	99470449	NM_001010861	0.419	-	LPPR5
chr6	31543343	31546112	NM_000594	0.414	+	TNF
chr2	177134122	177202753	NR_027850	0.410	+	MTX2
chr2	177134122	177202753	NM_006554	0.410	+	MTX2
chr2	174771186	174828947	NM_001017371	0.396	-	SP3
chr16	30772932	30787628	NM_014771	0.396	+	RNF40
chr16	30772932	30787628	NM_001207034	0.396	+	RNF40
chr16	30772932	30787628	NM_001207033	0.396	+	RNF40
chr19	54188262	54188345	NR_030184	0.395	+	MIR515-1
chr19	54188262	54188345	NR_030187	0.395	+	MIR515-2
chr19	53099936	53103405	NR_023311	0.392	+	ZNF137P
chr1	99469831	99614408	NR_033940	0.386	+	LOC100129620
chr5	32354455	32444844	NM_016107	0.383	-	ZFR
chr17	34493060	34503988	NM_001001417	0.371	-	TBC1D3B
chr13	90883435	90883531	NR_030754	0.365	+	MIR622
chr7	142723286	142724219	NM_001001658	0.364	-	OR9A2
chr1	153509622	153514241	NM_002962	0.361	-	S100A5
chr17	73720775	73753899	NM_001005619	0.359	+	ITGB4
chr6	31548335	31550202	NM_009588	0.356	-	LTB
chr6	31548335	31550202	NM_002341	0.356	-	LTB
chr8	19796581	19824770	NM_000237	0.350	+	LPL
chr11	4701400	4719076	NM_030774	0.321	-	OR51E2
chr10	51464161	51486327	NM_001077685	0.315	-	AGAP7
chr2	121974163	122042778	NM_014553	0.313	-	TFCP2L1
chr10	11206992	11378672	NM_001083591	0.313	+	CELF2
chr10	11206992	11378672	NM_001025076	0.313	+	CELF2
chr16	90071278	90076529	NM_024043	0.312	-	DBNDD1
chr3	52262625	52273183	NM_007284	0.307	-	TWF2
chr5	148724976	148734146	NM_152407	0.297	+	GRPEL2
chr10	42970938	42990785	NR_026827	0.292	+	LOC84856
chr18	60382671	60647676	NM_194449	0.284	+	PHLPP1
chr17	80400462	80407602	NM_001193655	0.278	-	C17orf62
chr17	66863430	66951533	NM_007168	0.271	-	ABCA8
chr19	54185412	54185499	NR_030186	0.270	+	MIR520F
chr6	31540070	31542100	NM_000595	0.267	+	LTA
chr19	54197646	54197729	NR_030190	0.266	+	MIR526B
chr17	34245084	34257780	NM_001163120	0.266	-	RDM1
chr17	34245084	34257780	NM_145654	0.266	-	RDM1
chr17	34245084	34257780	NR_027998	0.266	-	RDM1
chr17	34245084	34257780	NR_027997	0.266	-	RDM1
chr17	34245084	34257780	NR_027996	0.266	-	RDM1
chr17	34245084	34257780	NM_001163121	0.266	-	RDM1
chr17	34249481	34257780	NM_001034836	0.266	-	RDM1
chr6	31539875	31542100	NM_001159740	0.261	+	LTA
chr17	34245084	34257303	NR_027999	0.249	-	RDM1
chr17	34245084	34257303	NR_028000	0.249	-	RDM1
chr17	34245084	34257303	NM_001163122	0.249	-	RDM1
chr17	34245084	34257303	NM_001163130	0.249	-	RDM1
chr17	34249481	34257303	NM_001163125	0.249	-	RDM1
