# Argument List:
# Name = D4cF_Cdx2_O_k27ac_BMinus_30kb
# peak file = D4cf_Cdx2_O_k27ac.bed
# distance = 30000 bp
#Chromsome	TSS	TTS	RefseqID	Score	Strand	GeneSymbol
chr13	71589272	71742549	NR_047699	0.631	+	LINC00348
chr14	88490893	88553688	NR_046094	0.606	+	LINC01146
chr5	42799981	42812024	NM_001093726	0.604	-	SEPP1
chr5	42799981	42812024	NM_005410	0.604	-	SEPP1
chr5	42799981	42812024	NM_001085486	0.604	-	SEPP1
chr2	138721807	138739248	NM_001024075	0.603	+	HNMT
chr2	138721807	138773934	NM_006895	0.603	+	HNMT
chr2	138721807	138725014	NM_001024074	0.603	+	HNMT
chr2	200793633	200820459	NR_109905	0.601	-	TYW5
chr2	200793633	200820459	NR_004862	0.601	-	TYW5
chr2	200793633	200820459	NM_001039693	0.601	-	TYW5
chr2	200793633	200820459	NR_109907	0.601	-	TYW5
chr2	200793633	200820459	NR_109906	0.601	-	TYW5
chr2	171571856	171574498	NM_001003845	0.600	+	SP5
chr12	89741601	89746636	NM_001946	0.598	-	DUSP6
chr12	89741601	89746636	NM_022652	0.598	-	DUSP6
chr1	154934773	154946959	NM_003029	0.597	-	SHC1
chr1	154934773	154946959	NM_001202859	0.597	-	SHC1
chr1	154934773	154946959	NM_001130041	0.597	-	SHC1
chr13	46626982	46675482	NR_046227	0.592	+	CPB2-AS1
chr13	46626982	46675482	NR_046226	0.592	+	CPB2-AS1
chr7	130033611	130081051	NR_046443	0.587	-	CEP41
chr7	130058874	130081051	NM_001257160	0.587	-	CEP41
chr7	130033611	130081051	NM_018718	0.587	-	CEP41
chr7	130033611	130081051	NM_001257159	0.587	-	CEP41
chr7	130033611	130081051	NM_001257158	0.587	-	CEP41
chr13	46536313	46626896	NM_015070	0.585	-	ZC3H13
chr1	154947117	154951725	NM_001826	0.584	+	CKS1B
chr1	154947117	154951725	NR_024163	0.584	+	CKS1B
chr1	215740734	215795149	NM_016121	0.579	+	KCTD3
chr9	71736179	71870124	NM_001170414	0.578	+	TJP2
chr2	220144039	220151622	NM_001039550	0.575	+	DNAJB2
chr2	220144039	220151622	NM_006736	0.575	+	DNAJB2
chr7	107204401	107218968	NM_181581	0.574	+	DUS4L
chr7	107204401	107218968	NR_073002	0.574	+	DUS4L
chr7	107204401	107218968	NM_001270419	0.574	+	DUS4L
chr7	107204401	107218968	NR_073003	0.574	+	DUS4L
chr7	107204401	107218968	NR_073005	0.574	+	DUS4L
chr7	107204401	107218968	NR_073004	0.574	+	DUS4L
chr10	75936246	76469061	NM_001202449	0.573	+	ADK
chr10	75936246	76469061	NM_001123	0.573	+	ADK
chr13	35009590	35214822	NR_047036	0.573	-	LINC00457
chr1	225965514	225978168	NM_001130440	0.571	+	SRP9
chr1	225965514	225978168	NM_003133	0.571	+	SRP9
chr21	35014783	35210802	NM_001001132	0.570	+	ITSN1
chr21	35014783	35261609	NM_003024	0.570	+	ITSN1
chr2	200820039	200828847	NM_024520	0.568	+	C2orf47
chr1	160313062	160328742	NM_015331	0.555	+	NCSTN
chr1	160313062	160328742	NM_001290184	0.555	+	NCSTN
chr1	160313062	160328742	NM_001290186	0.555	+	NCSTN
chr1	192778168	192781407	NM_002923	0.555	+	RGS2
chr4	173555835	173648029	NR_125894	0.554	-	LOC101928314
chr4	154125565	154260474	NM_015271	0.554	+	TRIM2
chr4	154125565	154197427	NM_001302693	0.554	+	TRIM2
chr4	154125565	154197427	NM_001302692	0.554	+	TRIM2
chr2	171568948	171571077	NR_027433	0.553	-	LINC01124
chr7	31592615	31693303	NM_194300	0.549	+	CCDC129
chr5	68485374	68506184	NM_022909	0.544	+	CENPH
chr12	10998447	11324224	NR_037918	0.542	-	PRH1-PRR4
chr12	11033559	11324222	NM_001291314	0.542	-	PRH1
chr12	11033559	11324222	NM_001291315	0.542	-	PRH1
chr1	160258376	160313354	NM_004371	0.534	-	COPA
chr1	160258376	160313354	NM_001098398	0.534	-	COPA
chr2	109065576	109125854	NM_181453	0.534	+	GCC2
chr2	109065576	109125854	NR_028063	0.534	+	GCC2
chr1	147013270	147098020	NM_004326	0.530	+	BCL9
chr7	16832263	16844738	NM_006408	0.530	-	AGR2
chr8	138418343	138425831	NR_125428	0.527	-	LOC101927915
chr3	98451547	98514689	NM_006100	0.524	+	ST3GAL6
chr3	98451547	98514689	NM_001271145	0.524	+	ST3GAL6
chr3	98433176	98451495	NR_046683	0.521	-	ST3GAL6-AS1
chr11	58695101	58724547	NM_001220494	0.515	+	GLYATL1
chr21	9826202	9826263	NR_037458	0.513	+	MIR3687-1
chr21	9826202	9826263	NR_128714	0.513	+	MIR3687-2
chr12	11323779	11328619	NM_001271592	0.511	+	LOC100129361
chr1	149576466	149619134	NR_024511	0.509	+	LINC00623
chr1	149576466	149619134	NR_024510	0.509	+	LINC00623
chr1	149576466	149619134	NR_109754	0.509	+	LINC00623
chr1	154948168	154948259	NR_036212	0.508	+	MIR4258
chr14	21249209	21250626	NM_005615	0.502	+	RNASE6
chr1	162760491	162767932	NM_001304512	0.501	+	HSD17B7
chr1	162760491	162767932	NM_001304513	0.501	+	HSD17B7
chr1	162760491	162782608	NM_016371	0.501	+	HSD17B7
chr6	52614884	52628361	NM_000846	0.497	-	GSTA2
chr3	98451079	98514689	NM_001271142	0.495	+	ST3GAL6
chr3	98451079	98514689	NM_001271146	0.495	+	ST3GAL6
chr3	98451079	98514689	NM_001271148	0.495	+	ST3GAL6
chr3	98451079	98514689	NM_001271147	0.495	+	ST3GAL6
chr1	149576261	149672983	NR_111954	0.495	+	LOC103091866
chr1	149576261	149672983	NR_111955	0.495	+	LOC103091866
chr1	149576261	149672983	NR_111956	0.495	+	LOC103091866
chr1	149576261	149672983	NR_111957	0.495	+	LOC103091866
chr1	149576261	149672983	NR_111958	0.495	+	LOC103091866
chr11	62600382	62607628	NM_018093	0.490	-	WDR74
chr1	149576160	149651107	NR_111950	0.489	+	LINC00869
chr21	9825831	9826011	NR_037421	0.488	+	MIR3648-1
chr21	9825831	9826011	NR_128711	0.488	+	MIR3648-2
chr1	201688635	201688755	NR_049823	0.480	+	MIR5191
chr14	88484948	88492656	NR_110121	0.479	-	LOC101928791
chr14	32798478	33302268	NM_004274	0.478	+	AKAP6
chr16	22430866	22449036	NR_027460	0.477	-	RRN3P3
chr6	111135823	111216915	NM_001287215	0.476	+	AMD1
chr1	52888947	53018762	NM_015269	0.475	-	ZCCHC11
chr1	52888947	53018762	NM_001009881	0.475	-	ZCCHC11
chr18	29122108	29136874	NR_045216	0.475	-	DSG2-AS1
chr9	37510888	37576250	NM_012166	0.473	-	FBXO10
chr6	113944736	113971277	NR_125844	0.472	-	LOC101927686
chr16	27325229	27376099	NM_000418	0.457	+	IL4R
chr16	27325229	27376099	NM_001257407	0.457	+	IL4R
chr16	27325229	27376099	NM_001257997	0.457	+	IL4R
chr16	27325229	27376099	NM_001257406	0.457	+	IL4R
chr13	28536204	28543505	NM_001265	0.455	-	CDX2
chr12	108126642	108154914	NM_012406	0.454	-	PRDM4
chr1	149575481	149619134	NR_024584	0.446	+	LINC00623
chr10	5196654	5227150	NR_027916	0.445	-	AKR1C8P
chr10	126490353	126525239	NM_032182	0.444	+	FAM175B
chr8	86748526	86749604	NR_003594	0.438	+	REXO1L2P
chr16	52119192	52132979	NR_104655	0.435	+	LOC102467079
chr3	25382292	25639422	NM_001290300	0.434	+	RARB
chr16	22448328	22503541	NR_027154	0.434	+	SMG1P1
chr8	12803182	12887284	NM_020844	0.432	+	KIAA1456
chr16	52116976	52119021	NR_038233	0.426	-	LINC00919
chr1	206557366	206581301	NR_120535	0.420	+	SRGAP2D
chr12	13028410	13029070	NR_003932	0.418	+	RPL13AP20
chr8	95384187	95449180	NM_001205263	0.417	-	RAD54B
chr8	95439939	95449180	NM_001256141	0.417	-	FSBP
chr6	4610798	4612153	NR_122107	0.408	+	KU-MEL-3
chr11	125034558	125303285	NM_022062	0.405	+	PKNOX2
chr6	32520489	32527779	NR_001298	0.404	-	HLA-DRB6
chr22	26921713	26961370	NM_001008566	0.403	-	TPST2
chr11	59189451	59190426	NM_001001954	0.402	-	OR5A2
chr11	125028356	125034505	NR_125759	0.402	-	PKNOX2-AS1
chr5	147443534	147516925	NM_006846	0.401	+	SPINK5
chr5	147443534	147516925	NM_001127698	0.401	+	SPINK5
chr5	147443534	147504503	NM_001127699	0.401	+	SPINK5
chr1	154934773	154943223	NM_001130040	0.375	-	SHC1
chr1	154934773	154943223	NM_183001	0.375	-	SHC1
chr7	26572739	26578444	NR_022006	0.374	-	KIAA0087
chr4	79892901	80229953	NR_038342	0.353	+	LINC01088
chr9	42493516	42498676	NR_121572	0.352	+	GXYLT1P3
chr2	233630511	233641275	NM_002242	0.347	-	KCNJ13
chr2	233630511	233641275	NM_001172417	0.347	-	KCNJ13
chr2	233630511	233641275	NM_001172416	0.347	-	KCNJ13
chr12	47602202	47610226	NR_026544	0.340	-	PCED1B-AS1
chr3	111805181	111837044	NM_024616	0.338	+	C3orf52
chr3	111805181	111837073	NM_001171747	0.338	+	C3orf52
chr12	66267591	66275358	NR_120478	0.333	-	LOC100129940
chr9	138515501	138531386	NM_182974	0.332	-	GLT6D1
chr9	114312001	114362135	NM_001146109	0.311	-	PTGR1
chr9	114325246	114362135	NM_001146108	0.311	-	PTGR1
chr12	66245006	66275947	NM_001292024	0.308	-	LOC100129940
chr12	66249726	66275947	NM_001292023	0.308	-	LOC100129940
chr8	6479644	6479741	NR_107022	0.301	-	MIR8055
chr12	53574534	53584654	NM_001004304	0.300	+	ZNF740
chr9	114325246	114361711	NM_012212	0.294	-	PTGR1
chr2	134884695	134884763	NR_037450	0.293	+	MIR3679
chr1	147400505	147465753	NM_016334	0.275	+	GPR89B
chr1	202509241	202557697	NM_001197131	0.275	+	PPP1R12B
chr19	39306061	39322497	NM_001398	0.275	-	ECH1
chr7	15239942	15601640	NM_001004320	0.272	-	AGMO
chr1	16999497	17000007	NM_001282321	0.271	+	FAM231A
chr5	123972609	124080805	NM_020747	0.270	-	ZNF608
chr1	32372021	32403988	NM_080391	0.269	-	PTP4A2
chr16	69458497	69500167	NM_030579	0.255	+	CYB5B
