# Argument List:
# Name = Beta_minus-D4CF_unique-2
# peak file = /Informatics/D4CF_unique.bed
# distance = 5000 bp
#Chromsome	TSS	TTS	RefseqID	Score	Strand	GeneSymbol
chr2	49189295	49381666	NM_000145	0.754	-	FSHR
chr2	49189295	49381666	NM_181446	0.754	-	FSHR
chr2	77213090	77236914	NR_110284	0.747	+	LOC101927907
chr4	113569029	113569097	NR_029860	0.624	-	MIR367
chr18	39060235	39100561	NR_002838	0.619	-	KC6
chr2	180306710	180610769	NM_001113397	0.611	-	ZNF385B
chr15	57511654	57580714	NM_207040	0.611	+	TCF12
chr4	113569159	113569227	NR_029859	0.586	-	MIR302D
chr1	158724605	158725637	NM_001005184	0.565	+	OR6K6
chr9	103235519	103339918	NM_003692	0.561	+	TMEFF1
chr4	113569338	113569407	NR_029835	0.545	-	MIR302A
chr12	10559982	10562356	NM_013431	0.527	-	KLRC4
chr7	82993221	83270747	NM_001178129	0.525	-	SEMA3E
chr4	113569518	113569586	NR_029858	0.514	-	MIR302C
chr12	11090852	11091806	NM_023922	0.513	-	TAS2R14
chr12	10583205	10588592	NM_002260	0.512	-	KLRC2
chr4	113569640	113569713	NR_029857	0.499	-	MIR302B
chr7	123454192	123459484	NR_002731	0.495	+	HYALP1
chr15	76234327	76304785	NM_138573	0.492	-	NRG4
chr10	35368525	35368608	NR_037405	0.484	-	MIR3611
chr4	173551082	173610068	NR_125895	0.480	-	LOC101928314
chr14	21056382	21075380	NR_122043	0.480	+	LOC254028
chr13	36875774	36944317	NM_001142294	0.478	-	SPG20
chr1	71172135	71252151	NR_125938	0.477	+	LOC101927244
chr12	10524951	10562745	NM_001199805	0.476	-	KLRC4-KLRK1
chr6	163471786	163475193	NR_110872	0.473	-	LOC101929239
chr6	163464011	163475193	NR_110871	0.473	-	LOC101929239
chr15	25230246	25230313	NR_001294	0.473	+	SNORD64
chr3	128290842	128294929	NR_125802	0.470	-	LINC01565
chr6	53976215	54131078	NM_001281747	0.470	+	MLIP
chr19	12777617	12786646	NM_001099737	0.469	+	WDR83
chr19	12777617	12786646	NR_029375	0.469	+	WDR83
chr19	55670028	55678090	NM_178837	0.467	-	DNAAF3
chr19	55670028	55678090	NM_001256716	0.467	-	DNAAF3
chr19	55670028	55678090	NM_001256715	0.467	-	DNAAF3
chr19	55670028	55678090	NM_001256714	0.467	-	DNAAF3
chrX	34645180	34675405	NM_031442	0.464	-	TMEM47
chr4	68919225	68938951	NR_046116	0.463	+	LOC550113
chr13	46115431	46189874	NM_182542	0.462	-	ERICH6B
chr19	12757321	12777591	NM_000528	0.460	-	MAN2B1
chr19	12757321	12777591	NM_001173498	0.460	-	MAN2B1
chr5	73665200	73832801	NR_126354	0.457	-	LINC01331
chr1	198492351	198510075	NM_133262	0.455	-	ATP6V1G3
chr1	198492351	198510075	NM_133326	0.455	-	ATP6V1G3
