# Argument List:
# Name = D4cF_Cdx2_NO_k27ac_BMinus_30kb
# peak file = D4cf_Cdx2_NO_k27ac.bed
# distance = 30000 bp
#Chromsome	TSS	TTS	RefseqID	Score	Strand	GeneSymbol
chr7	27179982	27195547	NR_038832	1.790	+	HOXA-AS3
chr7	27168125	27170399	NM_002141	1.750	-	HOXA4
chr12	54422193	54424607	NM_004503	1.666	+	HOXC6
chr7	27161537	27168379	NR_122069	1.617	+	HOXA-AS2
chr7	27145808	27159214	NM_030661	1.562	-	HOXA3
chr7	27145808	27166639	NM_153631	1.531	-	HOXA3
chr12	54426831	54429144	NM_018953	1.500	+	HOXC5
chr12	54427733	54427829	NR_030753	1.474	+	MIR615
chr7	27180670	27183287	NM_019102	1.334	-	HOXA5
chr17	46652868	46655743	NM_024015	1.316	-	HOXB4
chr17	46657199	46657309	NR_029608	1.310	-	MIR10A
chr12	54447660	54449814	NM_153633	1.290	+	HOXC4
chr12	54410635	54449814	NM_014620	1.272	+	HOXC4
chr12	54410635	54424607	NM_153693	1.272	+	HOXC6
chr12	54410635	54429144	NR_003084	1.272	+	HOXC5
chr9	68415307	68415388	NR_039688	1.246	-	MIR4477A
chr9	68415307	68415388	NR_039689	1.239	+	MIR4477B
chr9	68427782	68454375	NR_033907	1.128	-	LOC642236
chr7	27186781	27195547	NR_038831	1.107	+	HOXA-AS3
chr7	27185201	27187393	NM_024014	1.099	-	HOXA6
chr7	27193337	27196296	NM_006896	1.078	-	HOXA7
chr10	77163922	77168740	NR_110302	1.059	+	ZNF503-AS2
chr17	46626231	46651810	NM_002146	1.054	-	HOXB3
chr10	77163634	77168740	NR_110300	1.021	+	ZNF503-AS2
chr4	41746098	41750987	NM_003924	1.014	-	PHOX2B
chr10	63808969	63856707	NM_001244638	1.011	+	ARID5B
chr10	77163513	77168740	NR_024422	1.005	+	ZNF503-AS2
chr12	1738411	1756378	NM_032642	1.005	+	WNT5B
chr3	100941389	101039419	NM_016247	0.984	-	IMPG2
chr2	158383278	158485399	NM_001111032	0.981	-	ACVR1C
chr2	158383278	158485399	NM_001111033	0.981	-	ACVR1C
chr2	158383278	158485399	NM_145259	0.981	-	ACVR1C
chr1	233759897	233759965	NR_039625	0.970	+	MIR4427
chr17	46667781	46679703	NR_033202	0.930	+	HOXB-AS3
chr17	46667781	46683774	NR_033201	0.930	+	HOXB-AS3
chr17	46667781	46679703	NR_110331	0.930	+	HOXB-AS3
chr10	77162811	77168740	NR_110299	0.920	+	ZNF503-AS2
chr20	25653830	25677540	NM_015655	0.919	-	ZNF337
chr5	123972609	124080805	NM_020747	0.906	-	ZNF608
chr10	77162654	77168740	NR_110301	0.902	+	ZNF503-AS2
chr6	125304509	125407484	NM_152553	0.900	+	RNF217
chr6	125304509	125407484	NR_104440	0.900	+	RNF217
chr1	236305831	236372209	NM_003272	0.897	+	GPR137B
chr3	157827840	158262624	NM_001271838	0.895	+	RSRC1
chr3	157827840	158262624	NM_016625	0.895	+	RSRC1
chr3	157827840	158262624	NM_001271834	0.895	+	RSRC1
chr17	30677156	30697468	NM_003457	0.890	+	ZNF207
chr17	30677156	30697468	NM_001032293	0.890	+	ZNF207
chr17	30677156	30697468	NM_001098507	0.890	+	ZNF207
chr17	30677127	30677221	NR_030362	0.889	+	MIR632
chr7	144015217	144016150	NM_001005287	0.871	+	OR2A1
chr7	144015217	144016150	NM_001001802	0.871	+	OR2A42
chr3	157813799	157823952	NM_001163678	0.866	-	SHOX2
chr3	157813799	157823952	NM_006884	0.866	-	SHOX2
chr3	157813799	157823952	NM_003030	0.866	-	SHOX2
chr1	86889768	86922240	NM_006536	0.861	+	CLCA2
chr5	35960857	36001130	NM_001171873	0.861	-	UGT3A1
chrX	65384071	65487230	NM_014799	0.843	+	HEPH
chrX	65384071	65487230	NM_001130860	0.843	+	HEPH
chrX	65384071	65487230	NM_001282141	0.843	+	HEPH
chr12	54402889	54406545	NM_022658	0.836	+	HOXC8
chr8	86802519	86803597	NR_003594	0.834	-	REXO1L2P
chr7	107221203	107263762	NM_001008405	0.820	+	BCAP29
chr10	77039483	77161652	NR_120651	0.796	-	ZNF503
chr10	77157587	77161652	NM_032772	0.796	-	ZNF503
chr17	46698518	46703835	NM_024017	0.785	-	HOXB9
chr8	86787244	86788322	NR_003594	0.775	-	REXO1L2P
chr5	177019212	177023099	NM_017510	0.775	+	TMED9
chr2	42275160	42285668	NM_138370	0.774	+	PKDCC
chr12	54452037	54516018	NR_026655	0.770	+	FLJ12825
chr10	77161285	77168740	NR_024421	0.761	+	ZNF503-AS2
chr6	105404922	105531207	NM_001004317	0.760	+	LIN28B
chr7	18548899	18708466	NM_001204147	0.758	+	HDAC9
chr7	18548899	18708466	NM_001204148	0.758	+	HDAC9
chr2	109223616	109303702	NM_001193482	0.752	+	LIMS1
chr12	20167618	20251802	NR_040098	0.751	+	LOC100506393
chr2	171197026	171207453	NR_110576	0.747	-	LOC101929753
chr7	24612964	24733322	NM_001303037	0.744	+	MPP6
chr7	24612964	24733322	NM_016447	0.744	+	MPP6
chr16	55358470	55364672	NM_024335	0.742	+	IRX6
chr10	77168914	77171082	NR_110304	0.741	+	LOC101929234
chr7	107220421	107263762	NM_018844	0.739	+	BCAP29
chr7	107220421	107263762	NR_027830	0.739	+	BCAP29
chr17	46669653	46679703	NR_110329	0.738	+	HOXB-AS3
chr17	46669653	46683774	NR_033204	0.738	+	HOXB-AS3
chr17	46669653	46679703	NR_033203	0.738	+	HOXB-AS3
chr11	60048013	60076445	NM_148975	0.734	+	MS4A4A
chr11	60048013	60076445	NM_001243266	0.734	+	MS4A4A
chr11	60048013	60076445	NM_024021	0.734	+	MS4A4A
chr12	101786897	101801598	NM_001301068	0.733	-	ARL1
chr12	101786897	101801598	NM_001177	0.733	-	ARL1
chr15	89787193	89860362	NM_018193	0.729	+	FANCI
chr15	89787193	89860362	NM_001113378	0.729	+	FANCI
chrY	142990	170022	NR_028057	0.719	+	PLCXD1
chr6	25962916	25987557	NM_006355	0.715	+	TRIM38
chr14	70346113	70499083	NM_022137	0.715	+	SMOC1
chr14	70346113	70499083	NM_001034852	0.715	+	SMOC1
chr10	68685791	68861309	NM_178011	0.714	+	LRRTM3
chr17	48050129	48052323	NM_001934	0.712	+	DLX4
chrX	192990	220022	NR_028057	0.706	+	PLCXD1
chr13	52023619	52027275	NM_001039938	0.705	-	INTS6
chr13	51935700	52027275	NM_001039937	0.705	-	INTS6
chr13	51935700	52027275	NM_012141	0.705	-	INTS6
chr13	67399300	67489163	NR_046527	0.704	+	PCDH9-AS2
chr3	52321835	52329272	NM_145262	0.695	+	GLYCTK
chr3	52321835	52327021	NM_001144951	0.695	+	GLYCTK
chr3	52321835	52329272	NR_026701	0.695	+	GLYCTK
chr3	52321835	52329272	NR_026700	0.695	+	GLYCTK
chr3	52321835	52329272	NR_026699	0.695	+	GLYCTK
chr3	52321835	52329272	NR_026702	0.695	+	GLYCTK
chr2	87140934	87239861	NM_001078170	0.694	+	RGPD2
chr2	176999568	177001826	NR_038435	0.694	-	HOXD-AS2
chrX	137713733	137793827	NM_004114	0.692	-	FGF13
chr14	77893017	77923983	NM_001193315	0.689	-	VIPAS39
chr14	77893017	77923983	NM_001193314	0.689	-	VIPAS39
chr14	77893017	77923983	NM_001193317	0.689	-	VIPAS39
chr14	77893017	77923983	NM_022067	0.689	-	VIPAS39
chr14	77893017	77923983	NM_001193316	0.689	-	VIPAS39
chr8	86775049	86776128	NR_003594	0.686	-	REXO1L2P
chr13	52027480	52028851	NR_103812	0.686	+	INTS6-AS1
chr1	97187160	97280605	NM_001300988	0.681	+	PTBP2
chr1	97187160	97280605	NM_001300985	0.681	+	PTBP2
chr1	97187160	97280605	NM_001300989	0.681	+	PTBP2
chr1	97187160	97280605	NM_001300986	0.681	+	PTBP2
chr1	97187160	97280605	NM_001300987	0.681	+	PTBP2
chr1	97187160	97280605	NM_001300990	0.681	+	PTBP2
chr1	97187160	97280605	NM_021190	0.681	+	PTBP2
chr1	97187160	97280605	NR_125357	0.681	+	PTBP2
chr20	29637583	29638138	NR_045115	0.675	-	MLLT10P1
chrX	65382390	65487230	NM_138737	0.673	+	HEPH
chr1	97188193	97280605	NR_125356	0.672	+	PTBP2
chr1	96719624	96839681	NR_110693	0.670	-	LOC101928241
chr6	105384168	105388402	NR_046407	0.657	-	LINC00577
chr14	77924372	77935815	NM_012111	0.654	+	AHSA1
chrX	137794268	137798763	NR_038405	0.652	+	FGF13-AS1
chr14	57267424	57272381	NM_172337	0.647	-	OTX2
chr14	57267424	57272381	NM_001270525	0.647	-	OTX2
chr14	57267424	57272381	NR_073036	0.647	-	OTX2
chr10	94449680	94455408	NM_002729	0.647	+	HHEX
chr2	55461299	55461985	NR_039624	0.640	+	MIR4426
chr1	65045529	65045604	NR_039957	0.639	+	MIR4794
chr2	87144737	87241099	NM_001024457	0.639	+	RGPD1
chr3	52288437	52312659	NM_025222	0.637	-	WDR82
chr14	31091459	31205033	NM_016106	0.632	+	SCFD1
chr14	31091459	31205033	NM_001283032	0.632	+	SCFD1
chr14	31091459	31205033	NM_182835	0.632	+	SCFD1
chr14	31091459	31205033	NM_001283031	0.632	+	SCFD1
chr14	31091459	31205033	NM_001283033	0.632	+	SCFD1
chr14	31091524	31205033	NM_001257376	0.631	+	SCFD1
chr2	177502481	177520686	NR_110599	0.628	+	LINC01117
chr5	87962670	87962757	NR_030741	0.623	-	MIR9-2
chr20	50448335	50479452	NR_110016	0.622	-	LINC01429
chr17	46668618	46671103	NM_002147	0.621	-	HOXB5
chr7	35242041	35293711	NM_001077653	0.619	-	TBX20
chr7	35271111	35293711	NM_001166220	0.619	-	TBX20
chr1	225117362	225155626	NM_144989	0.618	+	DNAH14
chr1	225117355	225586996	NM_001373	0.618	+	DNAH14
chr1	225117355	225211991	NM_001145154	0.618	+	DNAH14
chr10	44404751	44465355	NR_033846	0.617	+	LINC00841
chr2	176994421	176997423	NM_001199747	0.612	+	HOXD8
chr2	176994467	176997423	NM_001199746	0.611	+	HOXD8
chr2	176994467	176997423	NM_019558	0.611	+	HOXD8
chr15	82555151	82577267	NM_001008226	0.610	+	FAM154B
chr4	155665122	155674271	NM_004744	0.606	+	LRAT
chr12	123459249	123464588	NM_001304834	0.606	+	OGFOD2
chr12	123459249	123464588	NM_001304835	0.606	+	OGFOD2
chr12	123459249	123464588	NM_001304837	0.606	+	OGFOD2
chr12	123459249	123464588	NM_001304838	0.606	+	OGFOD2
chr12	123459249	123464588	NM_024623	0.606	+	OGFOD2
chr12	123459249	123464588	NM_001304836	0.606	+	OGFOD2
chr22	17737749	17747623	NR_038398	0.605	-	CECR3
