chrome	start	end	peak	refseqID	Gene_Symbol	distance	score
chr12	52951280	52951281	MACS_peak_2730	NM_033448	KRT71	4349	0.106501096299
chr11	71796592	71796593	MACS_peak_2139	NM_001145308	LRTOMT	5216	0.0752905989434
chr11	71796859	71796860	MACS_peak_2140	NM_001145308	LRTOMT	5483	0.0676640675458
chr6	42524434	42524435	MACS_peak_11061	NM_001184801	UBR2	-7325	0.0323869407729
chr6	42537483	42537484	MACS_peak_11062	NM_001184801	UBR2	5724	0.0614457873149
chr5	179343455	179343456	MACS_peak_10843	NM_198868	TBC1D9B	8599	0.0194559955873
chr3	52318698	52318699	MACS_peak_7990	NR_029677	MIR135A1	-9626	0.0129016508879
chr11	18478950	18478951	MACS_peak_1888	NM_144972	LDHAL6A	1577	0.32277493316
chr8	142511507	142511508	MACS_peak_13369	NR_102364	MROH5	-5823	0.0590600828415
chr1	68293536	68293537	MACS_peak_250	NR_040077	GNG12-AS1	-4434	0.102940924895
chr13	38170607	38170608	MACS_peak_3235	NM_001286665	POSTN	-2374	0.234664134977
chr10	70098340	70098341	MACS_peak_1480	NM_001033083	PBLD	5656	0.0631400502501
chr12	133765563	133765564	MACS_peak_3136	NM_152943	ZNF268	7569	0.0293753321308
chr1	20466880	20466881	MACS_peak_68	NM_022819	PLA2G2F	1058	0.397245818396
chr5	133760798	133760799	MACS_peak_10610	NR_105044	LOC102546229	-9940	0.0113788375956
chr9	135896369	135896370	MACS_peak_13969	NM_001286709	GTF3C5	-9692	0.012565503967
chr1	232930712	232930713	MACS_peak_1035	NM_019090	MAP10	-9925	0.0114473158505
chr19	29711520	29711521	MACS_peak_5737	NM_006003	UQCRFS1	7384	0.0316315575522
chr18	29762296	29762297	MACS_peak_5417	NM_005925	MEP1B	-7690	0.0279874243515
chr1	100645663	100645664	MACS_peak_465	NM_144620	LRRC39	1834	0.291242216186
chr18	61361665	61361666	MACS_peak_5587	NM_001291278	SERPINB11	-8527	0.0200244750721
chr14	27383794	27383795	MACS_peak_3723	NR_036193	MIR4307	5947	0.0562021649827
chr4	141348021	141348022	MACS_peak_9562	NM_001130675	CLGN	-794	0.441489959935
chr9	21993182	21993183	MACS_peak_13490	NR_047540	CDKN2B-AS1	-1607	0.318924781076
chr21	26205170	26205171	MACS_peak_7514	NR_046198	LOC339622	-7693	0.0279538595852
chr2	16190939	16190940	MACS_peak_5892	NR_126559	GACAT3	391	0.518715352515
chr16	57842181	57842182	MACS_peak_4742	NM_001278081	LOC388282	-2367	0.235322115298
chr22	24198597	24198598	MACS_peak_7647	NR_104247	SLC2A11	-292	0.539668617011
chr18	19758624	19758625	MACS_peak_5341	NR_102763	GATA6-AS1	9695	0.0125504344057
chrX	74379312	74379313	MACS_peak_14330	NM_001271699	ABCB7	3137	0.172941827199
chr1	244819790	244819791	MACS_peak_1095	NR_123735	DESI2	3441	0.153140420109
chr13	51927357	51927358	MACS_peak_3312	NR_049878	MIR5693	4582	0.0970237000413
chr5	92909764	92909765	MACS_peak_10347	NM_005654	NR2F1	-9278	0.0148285633812
chr1	156186544	156186545	MACS_peak_654	NM_001199654	PMF1	3766	0.134471903187
chr11	68663606	68663607	MACS_peak_2132	NM_181515	MRPL21	-7697	0.0279091691717
chrX	65386725	65386726	MACS_peak_14291	NM_014799	HEPH	2654	0.209800122318
chrX	65386883	65386884	MACS_peak_14292	NM_014799	HEPH	2812	0.196951061478
chr16	3346722	3346723	MACS_peak_4570	NM_033208	TIGD7	-8717	0.0185590080247
chr3	57882671	57882672	MACS_peak_8017	NM_001304422	SLMAP	7031	0.0364286400192
chr1	96840103	96840104	MACS_peak_438	NR_110693	LOC101928241	422	0.512322996657
chr10	91097881	91097882	MACS_peak_1593	NM_001289759	IFIT3	5646	0.0633931162457
chr8	67523137	67523138	MACS_peak_12908	NM_001144755	MYBL1	-2347	0.237212242649
chr5	57764879	57764880	MACS_peak_10155	NM_006622	PLK2	8913	0.017159557019
chr5	40836629	40836630	MACS_peak_10076	NR_037665	LOC100506548	7385	0.0316189074594
chr14	31087631	31087632	MACS_peak_3749	NM_001257376	SCFD1	-3893	0.127811341097
chr14	31101394	31101395	MACS_peak_3750	NM_001257376	SCFD1	9870	0.011701947477
chr2	208572644	208572645	MACS_peak_6988	NM_001142300	CCNYL1	-3619	0.142615939436
chr15	93446525	93446526	MACS_peak_4518	NM_001042572	CHD2	2975	0.184519523993
chr16	29089817	29089818	MACS_peak_4662	NR_003369	RRN3P2	3655	0.140576985608
chr18	14952548	14952549	MACS_peak_5317	NR_104164	LINC01443	6283	0.0491341974928
chr3	180329026	180329027	MACS_peak_8672	NM_001288582	TTC14	9109	0.0158656322955
chr1	111504437	111504438	MACS_peak_533	NM_018372	LRIF1	-2129	0.258825807879
chr12	91461042	91461043	MACS_peak_2959	NM_007035	KERA	8911	0.0171732901571
chr4	152139889	152139890	MACS_peak_9613	NM_001128923	SH3D19	-7771	0.0270951644662
chr6	99842532	99842533	MACS_peak_11365	NM_017421	COQ3	450	0.506616992366
chr12	86228456	86228457	MACS_peak_2920	NM_005447	RASSF9	-1862	0.287998502072
chr11	93467333	93467334	MACS_peak_2249	NR_003036	SNORD6	2594	0.214896233982
chr13	80577564	80577565	MACS_peak_3485	NR_104138	LINC01080	-7647	0.028472971788
chr4	152139889	152139890	MACS_peak_9613	NM_001243349	SH3D19	-9293	0.014739858382
chr11	74103915	74103916	MACS_peak_2150	NM_173582	PGM2L1	-5595	0.0646996168138
chr19	18294493	18294494	MACS_peak_5700	NM_006332	IFI30	9904	0.0115438782981
chr17	57222715	57222716	MACS_peak_5118	NR_030411	MIR454	7482	0.030415589181
chr7	50638532	50638533	MACS_peak_12043	NM_001242886	DDC	9764	0.0122087789495
chr1	173013311	173013312	MACS_peak_737	NM_005092	TNFSF18	-6792	0.0400831192354
chr14	23294554	23294555	MACS_peak_3700	NM_181305	MRPL52	-4537	0.0987859392144
chr6	26042132	26042133	MACS_peak_10999	NM_003537	HIST1H3B	9844	0.0118242827717
chr5	92909764	92909765	MACS_peak_10347	NR_109819	NR2F1-AS1	-7262	0.0332134621102
chr1	161672121	161672122	MACS_peak_675	NM_001184870	FCRLA	-4640	0.094798660459
chr5	42558663	42558664	MACS_peak_10086	NM_001242462	GHR	-7302	0.0326862754563
chr1	244819790	244819791	MACS_peak_1095	NM_016076	DESI2	3441	0.153140420109
chr3	103244134	103244135	MACS_peak_8270	NR_039611	MIR548AB	1174	0.379234701649
chr1	78437079	78437080	MACS_peak_329	NM_003902	FUBP1	-7810	0.0266757597627
chr21	39611254	39611255	MACS_peak_7577	NM_001276439	KCNJ15	9418	0.0140209870059
chr17	676590	676591	MACS_peak_4893	NM_018146	RNMTL1	-8922	0.0170978936743
chr2	79317920	79317921	MACS_peak_6254	NM_006507	REG1B	2770	0.200287789345
chr13	38170607	38170608	MACS_peak_3235	NM_001135935	POSTN	-2374	0.234664134977
chr5	76930162	76930163	MACS_peak_10250	NM_032109	OTP	-4360	0.106033520895
chr15	22419848	22419849	MACS_peak_4183	NR_028067	OR4N3P	6387	0.047132146257
chr13	103718897	103718898	MACS_peak_3614	NM_000452	SLC10A2	-299	0.538159658411
chr10	44888581	44888582	MACS_peak_1334	NM_001277990	CXCL12	8036	0.0243700587645
chr9	41956138	41956139	MACS_peak_13596	NR_126044	GLIDR	961	0.412961876086
chr1	153511013	153511014	MACS_peak_648	NR_125947	LOC101928034	-7204	0.0339930223645
chr20	29633236	29633237	MACS_peak_7291	NR_045115	MLLT10P1	-4902	0.0853666303384
chr20	29645681	29645682	MACS_peak_7292	NR_045115	MLLT10P1	7543	0.0296824297245
chr10	91097881	91097882	MACS_peak_1593	NM_001031683	IFIT3	5646	0.0633931162457
chr5	140737303	140737304	MACS_peak_10638	NM_032095	PCDHGB1	7476	0.0304886742621
chr2	99961743	99961744	MACS_peak_6331	NM_005783	TXNDC9	8883	0.0173667121481
chr20	19871719	19871720	MACS_peak_7258	NM_001242581	RIN2	4555	0.0980772348494
chr9	68408480	68408481	MACS_peak_13634	NR_039689	MIR4477B	-6827	0.0395258654444
chr9	68418232	68418233	MACS_peak_13635	NR_039689	MIR4477B	2925	0.188247065639
chr9	68420872	68420873	MACS_peak_13636	NR_039689	MIR4477B	5565	0.0654806892775
chr5	140737303	140737304	MACS_peak_10638	NM_018918	PCDHGA5	-6594	0.0433868013712
chr1	148906604	148906605	MACS_peak_631	NR_111001	DRD5P2	4760	0.0903558062532
chr11	85344188	85344189	MACS_peak_2209	NM_018480	TMEM126B	4572	0.097412572067
chr6	32379940	32379941	MACS_peak_11023	NM_019602	BTNL2	5040	0.0807820897125
chr2	108932294	108932295	MACS_peak_6373	NR_037191	SULT1C2P1	-6399	0.0469064540496
chr5	92909764	92909765	MACS_peak_10347	NR_021490	NR2F1-AS1	-7262	0.0332134621102
chr17	30673901	30673902	MACS_peak_4994	NM_003457	ZNF207	-3255	0.164968620823
chr17	30678655	30678656	MACS_peak_4995	NM_003457	ZNF207	1499	0.333004258765
