# Argument List:
# Name = Beta_minus-FetalSI_unique
# peak file = /Informatics/FetalSI_unique.bed
# distance = 5000 bp
#Chromsome	TSS	TTS	RefseqID	Score	Strand	GeneSymbol
chrX	152224765	152228827	NM_013364	1.174	+	PNMA3
chrX	152224765	152228827	NM_001282535	1.174	+	PNMA3
chr1	204100188	204121310	NM_018208	0.837	-	ETNK2
chr1	204100188	204121310	NM_001297762	0.837	-	ETNK2
chr1	204100188	204121310	NM_001297760	0.837	-	ETNK2
chr1	204100188	204121310	NM_001297761	0.837	-	ETNK2
chr10	116853123	117708509	NM_207303	0.764	+	ATRNL1
chr10	116853123	116931126	NM_001276282	0.764	+	ATRNL1
chr10	116853123	116931126	NR_074088	0.764	+	ATRNL1
chr19	708952	748330	NM_002579	0.703	+	PALM
chr19	708952	748330	NM_001040134	0.703	+	PALM
chr10	100154974	100155064	NR_031619	0.694	-	MIR1287
chr16	25228284	25240253	NM_001169	0.664	+	AQP8
chr1	15736390	15756839	NM_024329	0.625	+	EFHD2
chr9	112002006	112083244	NM_018424	0.568	-	EPB41L4B
chr12	57392616	57400297	NM_014830	0.557	-	ZBTB39
chr7	102073976	102097268	NM_032831	0.534	+	ORAI2
chr7	102073976	102097268	NM_001271819	0.534	+	ORAI2
chr7	102073976	102097268	NM_001271818	0.534	+	ORAI2
chr7	102073976	102097268	NM_001126340	0.534	+	ORAI2
chr1	32256022	32281652	NM_001281988	0.505	-	SPOCD1
chr1	32256022	32281652	NM_144569	0.505	-	SPOCD1
chr1	32256022	32281652	NM_001281987	0.505	-	SPOCD1
chr19	3359560	3469215	NM_205843	0.494	+	NFIC
chr19	3359560	3469215	NM_001245005	0.494	+	NFIC
chr14	105057200	105071097	NM_001286389	0.488	-	TMEM179
chr14	105060417	105071097	NM_001286390	0.488	-	TMEM179
chr20	32263291	32274210	NM_005225	0.485	-	E2F1
chr10	42827313	42863493	NR_024380	0.482	-	LOC441666
chr8	21882353	21894408	NM_182795	0.481	+	NPM2
chr8	21882353	21894408	NM_001286681	0.481	+	NPM2
chrX	51075660	51080377	NM_001304963	0.481	+	NUDT10
chr17	48046561	48052323	NM_138281	0.474	+	DLX4
chr6	29794755	29798899	NM_002127	0.473	+	HLA-G
chr12	96043030	96067770	NR_077225	0.472	+	PGAM1P5
chr20	34742661	34820721	NM_012156	0.470	+	EPB41L1
chr12	125549924	125627871	NM_023928	0.470	+	AACS
chr2	150187028	150330659	NM_194317	0.468	+	LYPD6
chr14	105235686	105262080	NM_001014432	0.464	-	AKT1
chr14	105235686	105262080	NM_001014431	0.464	-	AKT1
chr11	61248584	61258400	NM_001170753	0.460	+	PPP1R32
chr11	61248584	61258400	NM_145017	0.460	+	PPP1R32
chr4	2819911	2842823	NM_001145856	0.457	+	SH3BP2
chr6	43265997	43273276	NM_006672	0.456	+	SLC22A7
chr6	43265997	43273276	NM_153320	0.456	+	SLC22A7
chrX	117957786	117960931	NM_173798	0.453	+	ZCCHC12
chr1	43766565	43788781	NM_005424	0.452	+	TIE1
chr1	43766565	43788781	NM_001253357	0.452	+	TIE1
chr16	81069457	81080951	NM_015251	0.451	+	ATMIN
chr7	145813452	148118088	NM_014141	0.450	+	CNTNAP2
chr4	141309606	141348815	NM_004362	0.449	-	CLGN
chr4	141309606	141348815	NM_001130675	0.449	-	CLGN
chr18	74334737	74350968	NR_110784	0.447	-	LOC101927651
chrX	105855159	105922673	NM_018015	0.446	+	CXorf57
chrX	105855159	105922673	NM_001184782	0.446	+	CXorf57
chr4	88928798	88998931	NM_000297	0.446	+	PKD2
chr6	12392558	12392586	NR_103808	0.446	-	RNU6-48P
chr2	242127923	242135580	NM_001001666	0.445	+	ANO7
chr2	242127923	242164791	NM_001001891	0.445	+	ANO7
chrX	101768609	101771699	NM_021992	0.444	-	TMSB15A
chr12	108523247	108644313	NM_014653	0.444	+	WSCD2
chr19	19040009	19052041	NM_004838	0.444	-	HOMER3
chrX	153665258	153671814	NM_001493	0.443	+	GDI1
chr4	53728494	53733002	NM_023940	0.442	+	RASL11B
chr6	132129155	132216295	NM_006208	0.442	+	ENPP1
chr10	43008960	43048318	NR_026777	0.442	-	ZNF37BP
chr17	7554207	7561089	NM_001678	0.441	+	ATP1B2
chr21	47721043	47738134	NM_001286463	0.436	-	C21orf58
chr20	17207596	17465222	NM_001201529	0.436	+	PCSK2
chr20	17207596	17465222	NM_002594	0.436	+	PCSK2
chr19	15270443	15311792	NM_000435	0.435	-	NOTCH3
chr22	20228937	20255816	NM_023004	0.433	-	RTN4R
chr6	17102488	17131603	NM_001190766	0.433	+	STMND1
chr13	19997018	20135714	NR_073485	0.433	-	TPTE2
chr19	7660787	7683196	NM_020902	0.431	+	CAMSAP3
chr19	7660787	7683196	NM_001080429	0.431	+	CAMSAP3
chr7	19758937	19812404	NM_152774	0.430	-	TMEM196
chr18	67068283	67516322	NM_152721	0.430	+	DOK6
chr2	96789588	96804175	NM_001002036	0.430	-	ASTL
chr3	190570525	190580465	NM_001146686	0.430	-	GMNC
chr7	100797685	100804557	NM_001283	0.430	+	AP1S1
chr20	17206751	17465222	NM_001201528	0.429	+	PCSK2
chr16	2009516	2011976	NM_004548	0.429	+	NDUFB10
chr4	141178439	141303710	NM_032547	0.429	+	SCOC
chr5	172068275	172118533	NM_001142651	0.429	+	NEURL1B
chr6	88849584	88875767	NM_001160259	0.428	-	CNR1
chr6	88849584	88875767	NM_001160226	0.428	-	CNR1
chr6	88849584	88875767	NM_001160258	0.428	-	CNR1
chr6	88849584	88875767	NM_016083	0.428	-	CNR1
chr12	104166080	104234975	NM_001031701	0.428	-	NT5DC3
chr15	32322685	32462384	NR_046324	0.427	+	CHRNA7
chr15	32322685	32462384	NM_000746	0.427	+	CHRNA7
chr15	32322685	32462384	NM_001190455	0.427	+	CHRNA7
chr2	131513863	131525707	NM_001105195	0.426	+	AMER3
chr2	131513863	131525707	NM_001105194	0.426	+	AMER3
