chrome	start	end	peak	refseqID	Gene_Symbol	distance	score
chr1	149577783	149577784	MACS_peak_636	NR_024584	LINC00623	2302	0.241520723011
chr1	160312402	160312403	MACS_peak_671	NM_015331	NCSTN	-660	0.46579949765
chr1	16993445	16993446	MACS_peak_55	NM_001282321	FAM231A	-6052	0.0538905576047
chr2	128300933	128300934	MACS_peak_6478	NM_001080527	MYO7B	7556	0.0295284817017
chr5	147446634	147446635	MACS_peak_10671	NM_001127699	SPINK5	3100	0.175520400617
chr1	162759053	162759054	MACS_peak_681	NM_016371	HSD17B7	-1438	0.341229502575
chr1	154946837	154946838	MACS_peak_650	NM_001826	CKS1B	-280	0.542265253314
chr1	53020593	53020594	MACS_peak_175	NM_001009881	ZCCHC11	1831	0.291591916624
chr1	156154131	156154132	MACS_peak_653	NM_001286184	SLC25A44	-9591	0.0130835442831
chr7	130081299	130081300	MACS_peak_12455	NR_046443	CEP41	248	0.549250861069
chr7	15607666	15607667	MACS_peak_11833	NM_001004320	AGMO	6026	0.0544539439347
chr1	154946837	154946838	MACS_peak_650	NM_183001	SHC1	3614	0.142901456737
chr1	154946837	154946838	MACS_peak_650	NR_024163	CKS1B	-280	0.542265253314
chr12	24383266	24383267	MACS_peak_2581	NR_120472	LOC101928471	7062	0.0359797139767
chr3	111809572	111809573	MACS_peak_8326	NM_001171747	C3orf52	4391	0.104726823503
chr7	31593358	31593359	MACS_peak_11958	NM_194300	CCDC129	743	0.450588848231
chr12	66270860	66270861	MACS_peak_2808	NM_001292024	LOC100129940	-5087	0.0792775731939
chr3	98453016	98453017	MACS_peak_8237	NM_001271148	ST3GAL6	1937	0.279486860004
chr19	54116179	54116180	MACS_peak_5809	NR_002938	LOC284379	9428	0.0139650150764
chr1	148356565	148356566	MACS_peak_627	NM_015383	NBPF14	9809	0.0119909869368
chr7	130081299	130081300	MACS_peak_12455	NM_001257159	CEP41	248	0.549250861069
chr12	11325065	11325066	MACS_peak_2503	NM_001271592	LOC100129361	1286	0.362619936536
chr1	147012260	147012261	MACS_peak_622	NM_004326	BCL9	-1010	0.404946629327
chr1	154946837	154946838	MACS_peak_650	NR_036212	MIR4258	-1331	0.356151171222
chr12	12929399	12929400	MACS_peak_2513	NM_030817	APOLD1	-9141	0.0156638463869
chr7	26574827	26574828	MACS_peak_11917	NR_022006	KIAA0087	-3617	0.142730077836
chr13	35214393	35214394	MACS_peak_3221	NR_047036	LINC00457	-429	0.5108904987
chr2	233637080	233637081	MACS_peak_7129	NM_001172416	KCNJ13	-4195	0.113267839936
chr7	130081299	130081300	MACS_peak_12455	NM_001257158	CEP41	248	0.549250861069
chr3	5031072	5031073	MACS_peak_7762	NM_003670	BHLHE40	9976	0.0112161564496
chr9	114367144	114367145	MACS_peak_13868	NR_034087	LRRC37A5P	-8689	0.0187680372934
chr1	225965963	225965964	MACS_peak_1007	NM_003133	SRP9	449	0.506819679697
chr10	126488006	126488007	MACS_peak_1790	NM_212554	METTL10	7496	0.0302457379091
chr3	98453016	98453017	MACS_peak_8237	NM_006100	ST3GAL6	1469	0.33702438237
chr7	107204817	107204818	MACS_peak_12303	NR_073003	DUS4L	416	0.513554048521
chr8	6474482	6474483	MACS_peak_12620	NR_107022	MIR8055	-5259	0.0740066740485
chr12	53569242	53569243	MACS_peak_2734	NM_001004304	ZNF740	-5292	0.0730362051371
chr10	5229468	5229469	MACS_peak_1139	NR_027916	AKR1C8P	2318	0.239979926193
chr1	32410082	32410083	MACS_peak_96	NM_080391	PTP4A2	6094	0.0529927588625
chr21	9827464	9827465	MACS_peak_7434	NR_037458	MIR3687-1	1262	0.366117851052
chr4	154126239	154126240	MACS_peak_9627	NM_001302692	TRIM2	674	0.463198310585
chr1	202503308	202503309	MACS_peak_890	NM_001197131	PPP1R12B	-5933	0.0565177800039
