#Chromsome	TSS	TTS	RefseqID	Score	Strand	GeneSymbol
chr6	90142896	90343553	NM_014942	0.51	+	ANKRD6
chr6	90142896	90343553	NM_001242813	0.51	+	ANKRD6
chr6	90142896	90343553	NM_001242809	0.51	+	ANKRD6
chr16	447191	450754	NM_001286435	0.507	+	NME4
chr16	447191	450754	NM_005009	0.507	+	NME4
chr16	447191	450754	NM_001286433	0.507	+	NME4
chr16	447191	450754	NM_001286439	0.507	+	NME4
chr16	447191	450754	NM_001286438	0.507	+	NME4
chr1	16384263	16400127	NM_182623	0.482	-	FAM131C
chr5	169290718	169407744	NM_001129891	0.479	-	FAM196B
chr2	217498126	217529158	NM_000597	0.474	+	IGFBP2
chr16	447741	450754	NM_001286440	0.468	+	NME4
chr7	123092235	123174718	NR_104245	0.462	-	IQUB
chr7	123092235	123174718	NM_178827	0.462	-	IQUB
chr20	56791181	56803709	NM_001304369	0.442	-	ANKRD60
chr5	137774689	137782658	NM_016606	0.44	+	REEP2
chr5	137774689	137782658	NR_073449	0.44	+	REEP2
chr5	137774689	137782658	NR_073448	0.44	+	REEP2
chr5	137774689	137782658	NM_001271803	0.44	+	REEP2
chr19	15337732	15343858	NM_001142886	0.438	-	EPHX3
chr22	24376132	24384311	NM_000853	0.436	-	GSTT1
chr22	24376132	24384311	NM_001293807	0.436	-	GSTT1
chr22	24376132	24384311	NM_001293808	0.436	-	GSTT1
chr22	24376132	24384311	NM_001293809	0.436	-	GSTT1
chr22	24376132	24384311	NM_001293810	0.436	-	GSTT1
chr22	24376132	24384311	NM_001293811	0.436	-	GSTT1
chr22	24376132	24384311	NM_001293812	0.436	-	GSTT1
chr22	24376132	24384311	NM_001293813	0.436	-	GSTT1
chr22	24376132	24384311	NM_001293814	0.436	-	GSTT1
chr16	1484388	1494490	NM_001143980	0.433	-	CCDC154
chrX	100740240	100790975	NR_045861	0.431	+	ARMCX4
chrX	100740240	100790975	NR_045862	0.431	+	ARMCX4
chrX	100740240	100771939	NR_045863	0.431	+	ARMCX4
chrX	100740240	100790975	NR_045864	0.431	+	ARMCX4
chr7	855193	883509	NM_001171946	0.422	+	SUN1
chrX	150151747	150159248	NM_001301229	0.422	+	HMGB3
chrX	150151747	150159248	NM_005342	0.422	+	HMGB3
chr15	40380090	40401085	NM_001003943	0.42	-	BMF
